pair_key,city_id,species_id,pass1_disposition,pass2_disposition,evidence_grade,audited_peak,weaker_or_equal_anchor,stronger_or_equal_anchor,finding
tawas_city_mi/lake_trout,tawas_city_mi,lake_trout,research_candidate,numeric_private,B,5.1,Rogers City 5.1,Rogers City 5.1,"Current exact-city/bay guidance establishes cold-water local opportunity. With no resolved structure-level magnitude, the corrected peak matches Rogers City and remains below Harbor Beach; stocking only corroborates occurrence."
tawas_city_mi/walleye,tawas_city_mi,walleye,research_candidate,numeric_private,B,6.5,Muskegon 6.4,Oscoda 6.8,"DNR identifies Tawas City/Bay as a good walleye location and recurring bay reports establish strength, but most measured reports are boat-oriented. The corrected peak remains above Port Sanilac and below Oscoda."
tawas_city_mi/smallmouth_bass,tawas_city_mi,smallmouth_bass,research_candidate,numeric_private,B,6.2,Lexington 6,Whitehall 6.3,Current DNR exact-city/harbor targeting guidance supports a strong warm-season fishery above Lexington and below Pentwater.
tawas_city_mi/freshwater_drum,tawas_city_mi,freshwater_drum,hold,research_hold_unscored,C,,,,A connected-river report establishes occurrence but not recurring intentional pier targeting. No placeholder score is permitted.
tawas_city_mi/yellow_perch,tawas_city_mi,yellow_perch,research_candidate,numeric_private,B,6.8,Charlevoix 6.5,Grand Haven 7.2,"DNR exact-city/bay guidance establishes a real perch opportunity, while reviewed weekly evidence includes small fish and lacks a structure-level magnitude series. The corrected peak sits above Michigan City and below Grand Haven/Manistee."
tawas_city_mi/lake_whitefish,tawas_city_mi,lake_whitefish,research_candidate,numeric_private,B,4,Grand Haven 4,Grand Haven 4,"DNR weekly reports explicitly document late-fall targeting from the Tawas wall/state dock. Exact method and season support admission, while the unresolved magnitude supports equality with the established 4.0 lawful pier cohort rather than a new high."
tawas_city_mi/round_whitefish,tawas_city_mi,round_whitefish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
tawas_city_mi/channel_catfish,tawas_city_mi,channel_catfish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. All 7 target-county stocking records (1997-2016) are classified regional-only and do not establish the target-city structure fishery."
tawas_city_mi/largemouth_bass,tawas_city_mi,largemouth_bass,research_candidate,research_hold_unscored,C,,,,"The current agency location inventory creates a credible city lead, but no species-resolved recurring covered-shore record supports a numeric magnitude or annual shape. No placeholder score is permitted."
tawas_city_mi/atlantic_salmon,tawas_city_mi,atlantic_salmon,research_candidate,research_hold_unscored,C,,,,"The current agency location inventory and regional program establish local occurrence, but the reviewed records remain mode-mixed or offshore and do not establish recurring covered-structure targeting. No placeholder score is permitted."
tawas_city_mi/northern_pike,tawas_city_mi,northern_pike,research_candidate,numeric_private,B,5.2,Ludington 5.2,Ludington 5.2,DNR exact-city/connected-harbor targeting guidance establishes recurring opportunity at the Ludington tier. A single historical exact stocking record does not affect F.
tawas_city_mi/burbot,tawas_city_mi,burbot,research_candidate,numeric_private,B,4.3,,Manistee 4.5,DNR reports anglers taking burbot from the exact state dock and retains the local fishery in its guidance. Exact cold-season targeting supports a limited peak below Manistee/Ludington.
tawas_city_mi/white_perch,tawas_city_mi,white_perch,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
tawas_city_mi/white_bass,tawas_city_mi,white_bass,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
charlevoix_mi/chinook_salmon,charlevoix_mi,chinook_salmon,research_candidate,numeric_private,A,7.2,Chicago 7,Kenosha 7.4,Nine positive catch years including modern positives establish recurring channel opportunity. Low measured magnitude keeps the peak at the Manitowoc tier below Pentwater.
charlevoix_mi/coho_salmon,charlevoix_mi,coho_salmon,hold,research_hold_unscored,C,,,,Recent connected-water stocking is not exact-channel catch evidence; the Pier/Dock series has no positive catch row. No placeholder score is permitted.
charlevoix_mi/steelhead,charlevoix_mi,steelhead,research_candidate,numeric_private,A,7.5,Oscoda 7.4,Algoma 7.7,Eleven positive catch years across six months and continued modern occurrence establish a strong multi-window fishery between Holland/Two Rivers and the 7.7 cohort.
charlevoix_mi/brown_trout,charlevoix_mi,brown_trout,research_candidate,research_hold_unscored,C,,,,One positive catch year plus connected-water stocking is inadequate for recurring numeric admission. No placeholder score is permitted.
charlevoix_mi/lake_trout,charlevoix_mi,lake_trout,research_candidate,numeric_private,A,5,Alpena 5,Alpena 5,"Six positive years, all measured catch occurring in the modern period, establish the strongest reviewed Lake Michigan onboarding peak below Rogers City and above Lexington."
charlevoix_mi/walleye,charlevoix_mi,walleye,research_candidate,numeric_private,A,5.5,Rogers City 5.5,Rogers City 5.5,Thirteen positive catch years establish recurring channel opportunity. Modest recent magnitude places it below Lexington and above the Lake Michigan 4.5 tier.
charlevoix_mi/smallmouth_bass,charlevoix_mi,smallmouth_bass,research_candidate,numeric_private,A,8.4,Alpena 8,,"Twenty-five positive catch years, exceptional measured magnitude, and repeated exact-channel reports establish the strongest reviewed smallmouth channel fishery. The corrected 8.4 remains above Alpena while avoiding an unsupported four-tenths expansion within the excellent band."
charlevoix_mi/freshwater_drum,charlevoix_mi,freshwater_drum,research_candidate,numeric_private,A,5.4,Pentwater 5.4,Pentwater 5.4,Twelve positive years with persistent modern catches and exact-channel reports establish recurring ordinary-to-strong opportunity below Chicago/Whitehall.
charlevoix_mi/yellow_perch,charlevoix_mi,yellow_perch,research_candidate,numeric_private,A,6.5,Michigan City 6.2,Tawas City 6.8,Eight positive years with strong modern recurrence establish a solid channel fishery above Michigan City and below Grand Haven.
charlevoix_mi/lake_whitefish,charlevoix_mi,lake_whitefish,research_candidate,research_hold_unscored,C,,,,One historical positive catch year does not establish current recurrence. No placeholder score is permitted.
charlevoix_mi/round_whitefish,charlevoix_mi,round_whitefish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
charlevoix_mi/channel_catfish,charlevoix_mi,channel_catfish,research_candidate,research_hold_unscored,C,,,,A single harvest-only lead does not establish recurring targeted channel opportunity. No placeholder score is permitted.
charlevoix_mi/largemouth_bass,charlevoix_mi,largemouth_bass,research_candidate,research_hold_unscored,C,,,,A single harvest-only lead and regional stocking do not establish recurrence. No placeholder score is permitted.
charlevoix_mi/atlantic_salmon,charlevoix_mi,atlantic_salmon,hold,research_hold_unscored,C,,,,One 1986 connected-water stocking record and offshore reports do not establish an exact-pier fishery. No placeholder score is permitted.
charlevoix_mi/northern_pike,charlevoix_mi,northern_pike,research_candidate,research_hold_unscored,C,,,,"Archived channel occurrence remains insufficient to resolve recurrence, magnitude, and annual shape. No placeholder score is permitted."
charlevoix_mi/burbot,charlevoix_mi,burbot,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
charlevoix_mi/white_perch,charlevoix_mi,white_perch,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
charlevoix_mi/white_bass,charlevoix_mi,white_bass,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/chinook_salmon,caseville_mi,chinook_salmon,hold,research_hold_unscored,C,,,,Neighboring-port stocking and regional occurrence do not establish exact Caseville pier recurrence. No placeholder score is permitted.
caseville_mi/coho_salmon,caseville_mi,coho_salmon,research_candidate,numeric_private,B,5,,Ludington 5.6,"An exact DNR Caseville-pier catch report, official spring salmon guidance for Caseville, and current Huron County stocking corroboration establish a real but modest city-centered fishery. The conservative peak remains below Harbor Beach and Ludington."
caseville_mi/steelhead,caseville_mi,steelhead,hold,numeric_private,B,4.5,Port Sanilac 4.5,Port Sanilac 4.5,Exact connected Pigeon River/Caseville rainbow-trout stocking through 2022 and official spring trout guidance establish a modest city-centered steelhead pathway. The conservative peak matches Port Sanilac and remains below the measured Lake Huron harbor cohort.
caseville_mi/brown_trout,caseville_mi,brown_trout,hold,research_hold_unscored,C,,,,Historical exact-area stocking ended in 1999 and no current exact-pier recurrence was resolved. No placeholder score is permitted.
caseville_mi/lake_trout,caseville_mi,lake_trout,research_candidate,numeric_private,B,4.6,Oscoda 4.6,Oscoda 4.6,"Michigan DNR's exact Caseville fishery inventory names lake trout and the Lake Huron roadmap identifies spring trout opportunity. With no quantitative Caseville series, the conservative peak matches Oscoda and remains below Lexington."
caseville_mi/walleye,caseville_mi,walleye,research_candidate,numeric_private,B,6.2,Port Sanilac 6.2,Port Sanilac 6.2,DNR exact-city guidance and an exact-pier weekly report establish recurring intentional targeting. The peak matches Port Sanilac below Tawas/Oscoda.
caseville_mi/smallmouth_bass,caseville_mi,smallmouth_bass,research_candidate,numeric_private,B,5.5,Port Sanilac 5.4,Michigan City 5.7,DNR exact-city guidance and an exact-pier weekly report establish ordinary warm-season opportunity between Port Sanilac and Michigan City.
caseville_mi/freshwater_drum,caseville_mi,freshwater_drum,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/yellow_perch,caseville_mi,yellow_perch,research_candidate,research_hold_unscored,C,,,,"The current agency location inventory establishes a meaningful city lead, but no recurring exact pier/shore catch record supports the previously assigned strong numeric peak. No placeholder score is permitted."
caseville_mi/lake_whitefish,caseville_mi,lake_whitefish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/round_whitefish,caseville_mi,round_whitefish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/channel_catfish,caseville_mi,channel_catfish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/largemouth_bass,caseville_mi,largemouth_bass,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/atlantic_salmon,caseville_mi,atlantic_salmon,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/northern_pike,caseville_mi,northern_pike,hold,research_hold_unscored,C,,,,Neighboring-port stocking alone cannot establish the covered Caseville fishery. No placeholder score is permitted.
caseville_mi/burbot,caseville_mi,burbot,research_candidate,research_hold_unscored,C,,,,"The current agency location inventory establishes a cold-season lead, but no exact recurring Pointe Park or harbor-edge record resolves targetability, magnitude, and annual shape. No placeholder score is permitted."
caseville_mi/white_perch,caseville_mi,white_perch,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
caseville_mi/white_bass,caseville_mi,white_bass,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
