pair_key,city_id,city_name,species_id,species_name,pass1_disposition,pass2_disposition,evidence_grade,reason,next_evidence
tawas_city_mi/white_bass,tawas_city_mi,Tawas City,white_bass,White bass,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
charlevoix_mi/coho_salmon,charlevoix_mi,Charlevoix,coho_salmon,Coho salmon,hold,research_hold_unscored,C,Recent connected-water stocking is not exact-channel catch evidence; the Pier/Dock series has no positive catch row. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
charlevoix_mi/brown_trout,charlevoix_mi,Charlevoix,brown_trout,Brown trout,research_candidate,research_hold_unscored,C,One positive catch year plus connected-water stocking is inadequate for recurring numeric admission. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
charlevoix_mi/lake_whitefish,charlevoix_mi,Charlevoix,lake_whitefish,Lake whitefish,research_candidate,research_hold_unscored,C,One historical positive catch year does not establish current recurrence. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
charlevoix_mi/round_whitefish,charlevoix_mi,Charlevoix,round_whitefish,Round whitefish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
charlevoix_mi/channel_catfish,charlevoix_mi,Charlevoix,channel_catfish,Channel catfish,research_candidate,research_hold_unscored,C,A single harvest-only lead does not establish recurring targeted channel opportunity. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
charlevoix_mi/largemouth_bass,charlevoix_mi,Charlevoix,largemouth_bass,Largemouth bass,research_candidate,research_hold_unscored,C,A single harvest-only lead and regional stocking do not establish recurrence. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
charlevoix_mi/atlantic_salmon,charlevoix_mi,Charlevoix,atlantic_salmon,Atlantic salmon,hold,research_hold_unscored,C,One 1986 connected-water stocking record and offshore reports do not establish an exact-pier fishery. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
charlevoix_mi/northern_pike,charlevoix_mi,Charlevoix,northern_pike,Northern pike,research_candidate,research_hold_unscored,C,"Archived channel occurrence remains insufficient to resolve recurrence, magnitude, and annual shape. No placeholder score is permitted.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
charlevoix_mi/burbot,charlevoix_mi,Charlevoix,burbot,Burbot,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
charlevoix_mi/white_perch,charlevoix_mi,Charlevoix,white_perch,White perch,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
charlevoix_mi/white_bass,charlevoix_mi,Charlevoix,white_bass,White bass,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/chinook_salmon,caseville_mi,Caseville,chinook_salmon,Chinook salmon,hold,research_hold_unscored,C,Neighboring-port stocking and regional occurrence do not establish exact Caseville pier recurrence. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
caseville_mi/brown_trout,caseville_mi,Caseville,brown_trout,Brown trout,hold,research_hold_unscored,C,Historical exact-area stocking ended in 1999 and no current exact-pier recurrence was resolved. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
caseville_mi/freshwater_drum,caseville_mi,Caseville,freshwater_drum,Freshwater drum,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/yellow_perch,caseville_mi,Caseville,yellow_perch,Yellow perch,research_candidate,research_hold_unscored,C,"The current agency location inventory establishes a meaningful city lead, but no recurring exact pier/shore catch record supports the previously assigned strong numeric peak. No placeholder score is permitted.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
caseville_mi/lake_whitefish,caseville_mi,Caseville,lake_whitefish,Lake whitefish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/round_whitefish,caseville_mi,Caseville,round_whitefish,Round whitefish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/channel_catfish,caseville_mi,Caseville,channel_catfish,Channel catfish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/largemouth_bass,caseville_mi,Caseville,largemouth_bass,Largemouth bass,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/atlantic_salmon,caseville_mi,Caseville,atlantic_salmon,Atlantic salmon,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/northern_pike,caseville_mi,Caseville,northern_pike,Northern pike,hold,research_hold_unscored,C,Neighboring-port stocking alone cannot establish the covered Caseville fishery. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
caseville_mi/burbot,caseville_mi,Caseville,burbot,Burbot,research_candidate,research_hold_unscored,C,"The current agency location inventory establishes a cold-season lead, but no exact recurring Pointe Park or harbor-edge record resolves targetability, magnitude, and annual shape. No placeholder score is permitted.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
caseville_mi/white_perch,caseville_mi,Caseville,white_perch,White perch,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
caseville_mi/white_bass,caseville_mi,Caseville,white_bass,White bass,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
