priority,cityId,speciesId,baselineDisposition,evidenceGrade,currentLegacyMaximum,blockerCategories,requiredEvidence,evidenceIds,closureStatus
P1,kenosha_wi,chinook_salmon,admit,B,6.7,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,kenosha_wi,coho_salmon,admit,B,8,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,kenosha_wi,steelhead,admit,B,4.3,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,milwaukee_wi,brown_trout,admit,B,6.6,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,milwaukee_wi,chinook_salmon,admit,B,7,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,milwaukee_wi,coho_salmon,admit,B,7.6,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,milwaukee_wi,steelhead,admit,B,4.6,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,port_washington_wi,brown_trout,admit,B,7,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,PW_ACCESS_001|PW_SPECIES_001|PW_CURRENT_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024,open
P1,port_washington_wi,chinook_salmon,admit,B,7.2,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,PW_ACCESS_001|PW_SPECIES_001|PW_CURRENT_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024,open
P1,port_washington_wi,coho_salmon,admit,B,7.8,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,PW_ACCESS_001|PW_SPECIES_001|PW_CURRENT_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024,open
P1,port_washington_wi,steelhead,admit,B,5.2,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,PW_ACCESS_001|PW_SPECIES_001|PW_CURRENT_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024,open
P1,racine_wi,brown_trout,admit,B,6.7,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,racine_wi,chinook_salmon,admit,B,7.4,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,racine_wi,coho_salmon,admit,B,7.6,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,racine_wi,steelhead,admit,B,5.7,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
P1,sheboygan_wi,brown_trout,admit,B,7.8,local_effort_denominator|seasonal_timing|recurrence,Acquire or prospectively collect Sheboygan-specific pier catch and effort by species/month and validate mode-specific magnitude.,S1|W1|W3|W4|W5|W6|W7|W8|W9|W10|W11|W12,open
P1,sheboygan_wi,coho_salmon,admit,B,7.7,local_effort_denominator|seasonal_timing|recurrence,Acquire or prospectively collect Sheboygan-specific pier catch and effort by species/month and validate mode-specific magnitude.,S1|S6|S8|W1|W3|W4|W5|W6|W8|W9|W11,open
P1,sheboygan_wi,steelhead,admit,B,7.3,local_effort_denominator|seasonal_timing|recurrence,Acquire or prospectively collect Sheboygan-specific pier catch and effort by species/month and validate mode-specific magnitude.,S1|S7|W1|W3|W4|W5|W6|W7|W8,open
P2,frankfort_elberta_mi,round_whitefish,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|ROUND_DECLINE,open
P2,grand_haven_mi,channel_catfish,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing|recurrence,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_3588f66|B_14ccdb0,open
P2,grand_haven_mi,lake_whitefish,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|WHITEFISH_GEAR|MI_REGS_2026|B_3c05a1b,open
P2,grand_haven_mi,round_whitefish,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_2cce8db|B_2cea412|ROUND_DECLINE,open
P2,grand_haven_mi,smallmouth_bass,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_207cdc1|B_3ebb776|B_425abbc|B_3e9b7f3,open
P2,grand_haven_mi,yellow_perch,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|MI_2025,open
P2,kenosha_wi,lake_trout,defer,C,,local_effort_denominator|thermal_mode_validation|seasonal_timing|recurrence,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,WI_ACCESS_2026|WI_COUNTY_MODE_1998_2024,open
P2,kenosha_wi,yellow_perch,defer,C,,local_effort_denominator|thermal_mode_validation|seasonal_timing|recurrence,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,WI_ACCESS_2026|WI_WEEKLY_2024_07_15|WI_WEEKLY_2024_07_29|WI_WEEKLY_2024_08|V3_WI_PERCH_STATUS,open
P2,ludington_mi,freshwater_drum,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_421929e|B_423b34d,open
P2,ludington_mi,round_whitefish,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|ROUND_DECLINE,open
P2,ludington_mi,walleye,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing|recurrence,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_3176352|B_14ccdb0,open
P2,manistee_mi,largemouth_bass,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing|recurrence,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_3675eed|B_3abfd6e,open
P2,manistee_mi,round_whitefish,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_3548e2b|B_3de4822|ROUND_DECLINE,open
P2,manistee_mi,walleye,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_3176352|B_3588f66|B_3987c22|B_14ccdb0,open
P2,milwaukee_wi,lake_trout,defer,C,,local_effort_denominator|thermal_mode_validation|seasonal_timing|recurrence,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,WI_ACCESS_2026|WI_COUNTY_MODE_1998_2024,open
P2,port_washington_wi,lake_trout,defer,C,,local_effort_denominator|thermal_mode_validation|seasonal_timing|recurrence,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,PW_ACCESS_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024,open
P2,port_washington_wi,yellow_perch,defer,C,,local_effort_denominator|thermal_mode_validation|seasonal_timing|recurrence,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,PW_ACCESS_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024,open
P2,racine_wi,lake_trout,defer,C,,local_effort_denominator|thermal_mode_validation|seasonal_timing|recurrence,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,WI_ACCESS_2026|WI_COUNTY_MODE_1998_2024,open
P2,racine_wi,yellow_perch,defer,C,,local_effort_denominator|thermal_mode_validation|seasonal_timing|recurrence,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,WI_ACCESS_2026|WI_WEEKLY_2024_07_15|WI_WEEKLY_2024_07_29|WI_WEEKLY_2024_08|V3_WI_PERCH_STATUS,open
P2,sheboygan_wi,smallmouth_bass,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",SHEBOYGAN_SMALLMOUTH|WI_2022|WI_2023|WI_2024|WI_CURRENT,open
P2,sheboygan_wi,yellow_perch,defer,C,,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",WI_2022|WI_2023|WI_2024|SHEBOYGAN_PERCH_HISTORY|WI_CURRENT,open
