priority,cityId,cityName,speciesId,speciesName,evidenceGrade,legacyNumericCurveRetired,blockingDimensions,evidenceNeeded,reopeningRule,evidenceIds
P0,manistee_mi,Manistee,freshwater_drum,Freshwater Drum,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_2e736eb|B_366250d|B_3a521c4|B_3a65224|B_3ebb776
P0,manistee_mi,Manistee,yellow_perch,Yellow Perch,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_1953bab|B_3176352|B_3588f66|B_3614332|B_36281c5|B_323f6bf|B_3de4822
P2,manistee_mi,Manistee,round_whitefish,Round Whitefish,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_3548e2b|B_3de4822|ROUND_DECLINE
P2,manistee_mi,Manistee,largemouth_bass,Largemouth Bass,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_3675eed|B_3abfd6e
P2,frankfort_elberta_mi,Frankfort,round_whitefish,Round Whitefish,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|ROUND_DECLINE
P2,sheboygan_wi,Sheboygan,smallmouth_bass,Smallmouth Bass,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",SHEBOYGAN_SMALLMOUTH|WI_2022|WI_2023|WI_2024|WI_CURRENT
P1,sheboygan_wi,Sheboygan,yellow_perch,Yellow Perch,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",WI_2022|WI_2023|WI_2024|SHEBOYGAN_PERCH_HISTORY|WI_CURRENT
P2,port_washington_wi,Port Washington,lake_trout,Lake Trout,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,"Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",PW_ACCESS_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024
P1,port_washington_wi,Port Washington,yellow_perch,Yellow Perch,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,"Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",PW_ACCESS_001|PW_HARVEST_001|PW_SEASON_2022|PW_SEASON_2023|PW_SEASON_2024
P2,milwaukee_wi,Milwaukee,lake_trout,Lake Trout,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,"Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",WI_ACCESS_2026|WI_COUNTY_MODE_1998_2024
P2,racine_wi,Racine,lake_trout,Lake Trout,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,"Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",WI_ACCESS_2026|WI_COUNTY_MODE_1998_2024
P1,racine_wi,Racine,yellow_perch,Yellow Perch,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,"Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",WI_ACCESS_2026|WI_WEEKLY_2024_07_15|WI_WEEKLY_2024_07_29|WI_WEEKLY_2024_08|V3_WI_PERCH_STATUS
P2,kenosha_wi,Kenosha,lake_trout,Lake Trout,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,"Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",WI_ACCESS_2026|WI_COUNTY_MODE_1998_2024
P1,kenosha_wi,Kenosha,yellow_perch,Yellow Perch,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,Obtain repeated exact-city pier/shore observations plus local effort-aware seasonal evidence and applicable mode-specific thermal support.,"Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",WI_ACCESS_2026|WI_WEEKLY_2024_07_15|WI_WEEKLY_2024_07_29|WI_WEEKLY_2024_08|V3_WI_PERCH_STATUS
