date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,cloud_05_09,cloud_09_13,cloud_13_17,cloud_17_21,best_block,headline,detail,tip
"2022-08-22","beginning","68","Active","63.3","499","low","20","73","57","53","72","0","0","0","0","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2022-08-23","beginning","73","Active","63.3","499","low","20","73","59","79","72","9","17","77","8","13-17","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-01","building","71","Active","63.1","622","ideal","17","75","60","58","74","0","0","13","2","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-05","building","93","Highly active","61.5","515","normal_fishable","3","92","94","93","91","97","100","100","94","09-13","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-13","building","89","Highly active","60.1","543","ideal","25","96","91","71","77","100","91","44","9","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-15","building","82","Highly active","59","532","ideal","13","77","81","75","88","10","75","63","79","17-21","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-17","building","86","Highly active","60.7","500","normal_fishable","17","86","72","89","87","82","59","92","87","13-17","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-20","peak","88","Highly active","61","487","low","17","85","95","84","78","75","100","88","46","09-13","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-22","peak","78","Active","58.5","505","normal_fishable","11","81","79","70","74","55","72","56","11","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-25","peak","91","Highly active","53.7","500","normal_fishable","2","89","91","90","91","88","96","91","90","09-13","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-26","peak","96","Highly active","53.8","533","ideal","3","97","96","94","95","100","100","100","100","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2022-09-29","peak","86","Highly active","51.1","623","ideal","28","88","66","76","94","75","29","64","98","17-21","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-10-02","tapering","43","Moderate","51.8","539","ideal","8","45","37","39","44","11","21","39","8","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Freshness and individual condition are becoming less consistent. This score applies only to living Chinook still capable of responding; it cannot judge the condition of an individual fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Chinook still capable of responding."
"2022-10-05","tapering","53","Moderate","51.9","508","normal_fishable","6","54","54","52","48","100","100","94","58","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Freshness and individual condition are becoming less consistent. This score applies only to living Chinook still capable of responding; it cannot judge the condition of an individual fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Chinook still capable of responding."
"2022-10-27","ending","38","Reserved","48.6","781","high_fishable","13","38","29","31","42","40","3","41","80","17-21","Today’s Chinook activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2023-07-30","pre_run","28","Reserved","68.2","513","normal_fishable","3","28","26","29","28","0","0","81","8","13-17","Today’s Chinook activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2023-08-06","pre_run","87","Highly active","64","457","low","5","84","87","89","85","91","100","100","84","13-17","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2023-08-16","beginning","80","Highly active","61.1","518","normal_fishable","27","77","62","89","78","25","17","97","36","13-17","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2023-08-22","beginning","87","Highly active","64","487","low","10","89","88","85","79","100","100","94","62","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2023-09-04","building","66","Active","62.8","425","low","20","71","54","51","69","15","1","0","0","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2023-09-09","building","69","Active","59.9","462","low","15","73","58","60","72","0","9","35","0","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2023-09-11","building","90","Highly active","57.7","444","low","5","91","86","88","91","100","100","100","100","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2023-09-13","building","74","Active","57.4","492","low","6","75","70","70","76","12","50","53","31","17-21","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2023-09-21","peak","88","Highly active","58","435","low","1","88","88","88","89","100","100","99","100","17-21","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2023-09-22","peak","72","Active","59.3","431","low","17","77","62","60","74","51","37","36","35","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2023-10-07","tapering","52","Moderate","54.2","432","low","7","54","51","53","47","96","90","99","54","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Freshness and individual condition are becoming less consistent. This score applies only to living Chinook still capable of responding; it cannot judge the condition of an individual fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Chinook still capable of responding."
"2023-10-14","tapering","54","Moderate","49.8","508","normal_fishable","9","56","54","53","47","100","99","96","44","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Freshness and individual condition are becoming less consistent. This score applies only to living Chinook still capable of responding; it cannot judge the condition of an individual fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Chinook still capable of responding."
"2023-10-16","tapering","47","Moderate","50.4","544","ideal","17","46","52","35","46","30","91","2","32","09-13","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. Freshness and individual condition are becoming less consistent. This score applies only to living Chinook still capable of responding; it cannot judge the condition of an individual fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Chinook still capable of responding."
"2023-10-25","ending","44","Moderate","52","473","low","0","44","44","44","44","100","100","100","100","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2023-10-27","ending","47","Moderate","55.2","577","ideal","1","47","46","47","47","99","100","100","100","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2023-10-29","post_run","47","Moderate","51.3","641","ideal","2","46","47","47","48","98","100","100","100","17-21","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2024-07-30","pre_run","71","Active","66","541","ideal","17","77","61","60","72","51","34","44","22","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-01","pre_run","32","Reserved","68.9","650","ideal","0","32","32","32","32","100","100","100","100","05-09","Today’s Chinook activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-02","pre_run","79","Active","67.9","584","ideal","17","82","84","67","67","92","100","71","18","09-13","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-06","pre_run","81","Highly active","63.9","588","ideal","13","85","80","72","81","90","78","59","57","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-07","pre_run","74","Active","63","670","ideal","14","77","63","71","76","0","18","60","16","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-09","pre_run","77","Active","63.9","695","ideal","25","77","59","73","84","36","13","66","75","17-21","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-17","beginning","92","Highly active","63.1","521","normal_fishable","15","93","93","95","80","100","100","100","48","13-17","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-18","beginning","90","Highly active","63.3","542","ideal","20","93","94","74","82","100","100","56","57","09-13","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
"2024-08-22","beginning","77","Active","59.5","483","low","35","89","59","54","78","92","7","0","49","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
