date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,block_1_id,block_1_score,block_1_cloud_pct,block_2_id,block_2_score,block_2_cloud_pct,block_3_id,block_3_score,block_3_cloud_pct,best_block,headline,detail,tip
2024-01-06,beginning,76,Active,38.15,523,normal_fishable,0,09-12,76,100,12-15,76,100,15-18,76,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-12-31,beginning,79,Active,41.5,587,ideal,0,09-12,79,100,12-15,79,100,15-18,79,100,09-12,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-12-29,beginning,81,Highly active,44.5,594,ideal,5,09-12,82,100,12-15,82,97,15-18,77,10,09-12,Today’s Winter Steelhead Activity is highly active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-12-25,beginning,81,Highly active,38.3,532,ideal,0,09-12,81,100,12-15,81,100,15-18,81,100,09-12,Today’s Winter Steelhead Activity is highly active.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-12-29,beginning,83,Highly active,41,714,ideal,0,09-12,83,100,12-15,83,100,15-18,83,100,09-12,Today’s Winter Steelhead Activity is highly active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-12-27,beginning,87,Highly active,40.6,602,ideal,0,09-12,87,100,12-15,87,100,15-18,87,100,09-12,Today’s Winter Steelhead Activity is highly active.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-12-24,beginning,91,Highly active,43,558,ideal,0,09-12,91,100,12-15,91,100,15-18,91,100,09-12,Today’s Winter Steelhead Activity is highly active.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-01-17,building,29,Reserved,32.5,624,ideal,0,09-12,29,76,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-01-25,building,29,Reserved,32.6,617,ideal,0,09-12,29,90,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-01-30,building,29,Reserved,32.5,613,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-02-06,building,29,Reserved,32.5,608,ideal,0,08-11,29,71,11-15,29,50,15-19,29,30,08-11,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-02-02,building,29,Reserved,32.9,646,ideal,0,08-11,29,71,11-14,29,100,14-18,29,100,08-11,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-01-16,building,29,Reserved,33.1,532,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-15,building,29,Reserved,32.9,573,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-24,building,29,Reserved,32.2,553,ideal,0,09-12,29,82,12-15,29,100,15-18,29,99,09-12,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-02-10,building,29,Reserved,32.2,435,low,0,08-11,29,100,11-15,29,99,15-19,29,31,08-11,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-02-14,building,29,Reserved,32.2,491,low,0,08-11,29,99,11-15,29,100,15-19,29,100,08-11,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-24,building,29,Reserved,32.2,605,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-28,building,29,Reserved,32.2,558,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-02-04,building,29,Reserved,32.5,521,normal_fishable,0,08-11,29,100,11-14,29,100,14-18,29,97,08-11,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-02-09,building,29,Reserved,32.6,512,normal_fishable,0,08-11,29,90,11-15,29,100,15-19,29,100,08-11,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-16,building,47,Moderate,34.2,911,high_fishable,0,09-12,47,100,12-15,47,100,15-18,47,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-02-01,building,49,Moderate,34.5,611,ideal,0,09-12,49,100,12-15,49,82,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-01-18,building,49,Moderate,33.8,529,ideal,0,09-12,49,98,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-08,building,49,Moderate,34.9,625,ideal,0,09-12,49,100,12-15,49,100,15-18,49,95,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-16,building,49,Moderate,34,573,ideal,0,09-12,49,100,12-15,49,99,15-18,49,84,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-02-09,building,49,Moderate,33.6,447,low,0,08-11,49,98,11-15,49,100,15-19,49,100,08-11,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-02-10,building,49,Moderate,34.7,512,normal_fishable,0,08-11,49,99,11-15,49,100,15-19,49,66,08-11,Today’s Winter Steelhead Activity is moderate.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-02-13,building,59,Moderate,35.8,511,normal_fishable,6,08-11,61,64,11-15,55,3,15-19,58,4,08-11,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 8 AM–11 AM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 8 AM–11 AM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-13,building,61,Active,35.1,573,ideal,0,09-12,61,100,12-15,61,100,15-18,61,98,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-01-13,building,62,Active,36.5,552,ideal,0,09-12,62,100,12-15,62,100,15-18,62,100,09-12,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-28,building,66,Active,35.1,571,ideal,2,09-12,66,100,12-15,66,100,15-18,64,67,09-12,Today’s Winter Steelhead Activity is active.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-01-28,building,66,Active,36.2,707,ideal,0,09-12,66,100,12-15,66,100,15-18,66,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-01-09,building,68,Active,37.8,858,high_fishable,4,09-12,69,51,12-15,65,19,15-18,67,10,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-01-24,building,70,Active,37.2,803,high_fishable,1,09-12,69,89,12-15,70,100,15-18,70,100,12-15,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 12 PM–3 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 12 PM–3 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-01-25,building,71,Active,37.4,769,high_fishable,0,09-12,71,100,12-15,71,100,15-18,71,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-12,building,72,Active,36.3,582,ideal,0,09-12,72,100,12-15,72,100,15-18,72,100,09-12,Today’s Winter Steelhead Activity is active.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-01-26,building,73,Active,37.6,742,ideal,0,09-12,73,100,12-15,73,100,15-18,73,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
