pairKey,month,catchEstimate,positiveYears,catchPer1000AllSpeciesHours,recentCatchEstimate,recentPositiveYears,recentCatchPer1000AllSpeciesHours,meanIdealScore,lowestIdealScore,highestIdealScore,reviewFlag
frankfort_elberta_mi/chinook_salmon,09,846,8,63.153180,102,3,33.842070,7.13,5.21,8.57,none
frankfort_elberta_mi/coho_salmon,08,283,5,30.039274,71,2,34.923758,5.95,4.85,7.32,recent_recurring_catch_below_good_mean
frankfort_elberta_mi/coho_salmon,09,784,9,53.779668,242,3,80.291971,8.05,7.4,8.6,none
frankfort_elberta_mi/coho_salmon,10,264,8,18.453796,148,4,19.343877,6.29,4.56,7.61,none
frankfort_elberta_mi/steelhead,04,193,8,28.076811,42,3,11.487965,6.34,5.05,7,none
frankfort_elberta_mi/steelhead,05,34,3,24.028269,0,0,0,3.04,1.53,4.92,historical_catch_below_good_mean
frankfort_elberta_mi/steelhead,07,87,4,55.805003,22,2,31.654676,4.71,4.02,5.2,recent_recurring_catch_below_good_mean
frankfort_elberta_mi/steelhead,10,1592,10,92.225698,677,4,88.485165,8.71,6.97,9.8,none
frankfort_elberta_mi/brown_trout,04,227,6,32.577497,66,2,18.052516,7.01,6.48,7.5,none
frankfort_elberta_mi/brown_trout,05,77,3,63.953488,0,0,0,5.54,4.42,6.44,historical_catch_below_good_mean
