pair_key,city_id,species_id,pass2_disposition,evidence_grade,reason,next_evidence
st_joseph_mi/white_bass,st_joseph_mi,white_bass,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
st_joseph_mi/bluegill,st_joseph_mi,bluegill,exclude_unscored,D,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
south_haven_mi/largemouth_bass,south_haven_mi,largemouth_bass,research_hold_unscored,C,"Only two positive Pier/Dock catch years, one modern, do not establish a stable recurring annual shape despite the broader agency lead. No placeholder score is permitted.","In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
south_haven_mi/atlantic_salmon,south_haven_mi,atlantic_salmon,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
south_haven_mi/burbot,south_haven_mi,burbot,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
south_haven_mi/white_perch,south_haven_mi,white_perch,research_hold_unscored,C,One historical positive year and zero modern rows are inadequate for numeric admission. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
south_haven_mi/white_bass,south_haven_mi,white_bass,research_hold_unscored,C,One historical positive year and zero modern rows are inadequate for numeric admission. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
south_haven_mi/bluegill,south_haven_mi,bluegill,exclude_unscored,D,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created.","In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
holland_mi/round_whitefish,holland_mi,round_whitefish,research_hold_unscored,C,Two isolated positive years do not establish current recurrence or a defensible annual shape. No placeholder score is permitted.,"In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
holland_mi/channel_catfish,holland_mi,channel_catfish,research_hold_unscored,C,One positive Catch year and Lake Macatawa context cannot establish a recurring north-pier/channel target. No placeholder score is permitted.,"In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
holland_mi/largemouth_bass,holland_mi,largemouth_bass,research_hold_unscored,C,Sparse port rows and Lake Macatawa targeting remain insufficiently allocated to the covered north-pier/channel boundary. No placeholder score is permitted.,"In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
holland_mi/atlantic_salmon,holland_mi,atlantic_salmon,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
holland_mi/northern_pike,holland_mi,northern_pike,research_hold_unscored,C,The reviewed Pier/Dock strata are zero and the credible lead belongs primarily to Lake Macatawa rather than the covered Lake Michigan structure. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
holland_mi/burbot,holland_mi,burbot,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
holland_mi/white_perch,holland_mi,white_perch,research_hold_unscored,C,"A single high 2020 event is preserved, but one year cannot support recurrence or a complete annual shape. No placeholder score is permitted.","Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
holland_mi/white_bass,holland_mi,white_bass,research_hold_unscored,C,One positive Catch year is insufficient for numeric admission. No placeholder score is permitted.,"In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
holland_mi/bluegill,holland_mi,bluegill,exclude_unscored,D,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created.","In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
lexington_mi/lake_whitefish,lexington_mi,lake_whitefish,research_hold_unscored,C,The current roadmap does not establish a Lexington lake-whitefish target and all 42 enumerated Pier/Dock Catch strata are zero. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
lexington_mi/round_whitefish,lexington_mi,round_whitefish,research_hold_unscored,C,One positive year followed by recent zeros is insufficient for recurring intentional opportunity. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
lexington_mi/burbot,lexington_mi,burbot,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
lexington_mi/white_perch,lexington_mi,white_perch,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
lexington_mi/bluegill,lexington_mi,bluegill,exclude_unscored,D,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created.","In Pass 2, test recurring intentional covered-structure opportunity, effort denominator, annual shape, mode/structure allocation, and evidence grade before any numeric admission."
harrisville_mi/lake_trout,harrisville_mi,lake_trout,research_hold_unscored,C,"The current advisory calls the broader summer/boat fishery very good, but neither the roadmap nor advisory allocates recurring lake-trout catch to the covered docks or harbor edge. No placeholder score is permitted.","Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
harrisville_mi/walleye,harrisville_mi,walleye,research_hold_unscored,C,One historical Pier/Dock positive and mixed-mode current port evidence are not enough to allocate recurring magnitude to covered dock fishing. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
harrisville_mi/smallmouth_bass,harrisville_mi,smallmouth_bass,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/freshwater_drum,harrisville_mi,freshwater_drum,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/yellow_perch,harrisville_mi,yellow_perch,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/lake_whitefish,harrisville_mi,lake_whitefish,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/round_whitefish,harrisville_mi,round_whitefish,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/channel_catfish,harrisville_mi,channel_catfish,research_hold_unscored,C,One historical positive Pier/Dock year provides a lead but not recurrence or a defensible seasonal shape. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
harrisville_mi/largemouth_bass,harrisville_mi,largemouth_bass,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/northern_pike,harrisville_mi,northern_pike,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/burbot,harrisville_mi,burbot,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/white_perch,harrisville_mi,white_perch,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/white_bass,harrisville_mi,white_bass,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
harrisville_mi/bluegill,harrisville_mi,bluegill,exclude_unscored,D,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
