pair_key,city_id,species_id,pass1_decision,pass2_disposition,evidence_grade,audited_peak,outcome,weaker_or_equal_anchor,stronger_or_equal_anchor,finding
south_haven_mi/freshwater_drum,south_haven_mi,freshwater_drum,research_candidate,numeric_private,A,6.5,admitted_private_numeric,Muskegon 6.2,Grand Haven 7.2,Sixteen positive catch years and strong modern/recent matched-effort magnitude support a strong warm-season ceiling above Muskegon 6.2 and below Grand Haven 7.2.
south_haven_mi/yellow_perch,south_haven_mi,yellow_perch,research_candidate,numeric_private,A,5.4,admitted_private_numeric,Muskegon 5.2,St. Joseph 6,"Thirteen positive catch years and current exact-pier identification retain a numeric fishery, but zero recent Catch rows and the 2024 advisory's poor assessment cap it just above Muskegon 5.2."
south_haven_mi/lake_whitefish,south_haven_mi,lake_whitefish,research_candidate,numeric_private,B,4,admitted_private_numeric,Grand Haven 4,Grand Haven 4,Seven historical positive Catch years plus current exact-pier identification establish an intentional cold-season fishery; no modern positive Catch row supports exceeding the ordinary lawful 4.0 anchor.
south_haven_mi/round_whitefish,south_haven_mi,round_whitefish,research_candidate,numeric_private,B,3.7,admitted_private_numeric,,Grand Haven 3.8,Six positive Catch years including two recent years establish low-magnitude spring/fall recurrence. The value remains below Grand Haven 3.8 and Manistee 4.1.
south_haven_mi/channel_catfish,south_haven_mi,channel_catfish,research_candidate,numeric_private,A,5.2,admitted_private_numeric,Whitehall 5,Muskegon 6,Eleven positive Catch years with persistent modern and recent rows support an ordinary warm-season fishery above Whitehall 5.0 and below Muskegon 6.0.
south_haven_mi/largemouth_bass,south_haven_mi,largemouth_bass,research_candidate,research_hold_unscored,C,,retained_unscored,,,"Only two positive Pier/Dock catch years, one modern, do not establish a stable recurring annual shape despite the broader agency lead. No placeholder score is permitted."
south_haven_mi/atlantic_salmon,south_haven_mi,atlantic_salmon,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
south_haven_mi/northern_pike,south_haven_mi,northern_pike,research_candidate,numeric_private,A,4.8,admitted_private_numeric,Muskegon 4.8,Muskegon 4.8,Seven positive Catch years support an ordinary harbor opportunity equal to Muskegon and below Whitehall; low recent magnitude prevents a stronger placement.
south_haven_mi/burbot,south_haven_mi,burbot,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
south_haven_mi/white_perch,south_haven_mi,white_perch,hold,research_hold_unscored,C,,retained_unscored,,,One historical positive year and zero modern rows are inadequate for numeric admission. No placeholder score is permitted.
south_haven_mi/white_bass,south_haven_mi,white_bass,hold,research_hold_unscored,C,,retained_unscored,,,One historical positive year and zero modern rows are inadequate for numeric admission. No placeholder score is permitted.
south_haven_mi/bluegill,south_haven_mi,bluegill,research_candidate,exclude_unscored,D,,excluded_by_product_policy,,,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created."
holland_mi/chinook_salmon,holland_mi,chinook_salmon,research_candidate,numeric_private,A,7.8,admitted_private_numeric,Grand Haven 7.8,Grand Haven 7.8,Nine positive Pier/Dock catch years with high measured magnitude support Grand Haven's 7.8 tier. Current mixed-mode advisory evidence corroborates continued port importance but does not raise the pier value.
holland_mi/coho_salmon,holland_mi,coho_salmon,research_candidate,numeric_private,B,7,admitted_private_numeric,Algoma 7,Algoma 7,"Four positive Pier/Dock catch years plus current grouped-pier identification establish recurrence, but sparse modern coverage supports the Algoma 7.0 tier rather than the stronger southern references."
holland_mi/steelhead,holland_mi,steelhead,research_candidate,numeric_private,A,7.3,admitted_private_numeric,Two Rivers 7.3,Two Rivers 7.3,"Seven positive catch years and a modern positive stratum support a strong fishery between Two Rivers 7.3 and Oscoda 7.4, with current mixed-port corroboration."
holland_mi/brown_trout,holland_mi,brown_trout,research_candidate,numeric_private,A,7.2,admitted_private_numeric,Manitowoc 7.2,Manitowoc 7.2,Eight positive Catch years and strong historical magnitude support the Manitowoc/Two Rivers 7.2 tier; one large August estimate is not allowed to create an elite peak.
holland_mi/lake_trout,holland_mi,lake_trout,research_candidate,numeric_private,B,3.8,admitted_private_numeric,Ludington 3.8,Ludington 3.8,"Grouped current pier identification, the port roadmap, and the state-park plan establish a real fishery, while the two reviewed Pier/Dock strata are zero. The value matches Ludington and stays below the 4.0 cohort."
holland_mi/walleye,holland_mi,walleye,research_candidate,numeric_private,B,4.5,admitted_private_numeric,Frankfort–Elberta 4.5,Frankfort–Elberta 4.5,Three positive Pier/Dock catch years and the grouped agency pier inventory establish a low ordinary fishery equal to Frankfort. Lake Macatawa stocking and boat fishing do not increase the pier ceiling.
holland_mi/smallmouth_bass,holland_mi,smallmouth_bass,research_candidate,numeric_private,B,5.2,admitted_private_numeric,South Haven 5.2,South Haven 5.2,Five positive Catch years support an ordinary channel/pier opportunity between Manistee 5.0 and Port Sanilac 5.4; no Lake Macatawa transfer is used.
holland_mi/freshwater_drum,holland_mi,freshwater_drum,research_candidate,numeric_private,B,5.8,admitted_private_numeric,Chicago 5.6,Muskegon 6.2,Three positive Catch years with high measured magnitude and port-roadmap support establish a strong peak above Whitehall/Chicago 5.6 and below Muskegon 6.2.
holland_mi/yellow_perch,holland_mi,yellow_perch,research_candidate,numeric_private,A,7.6,admitted_private_numeric,Alpena 7.6,Alpena 7.6,"Seven positive Catch years, very high full-period magnitude, and current agency planning evidence support Ludington's 7.6 tier above Grand Haven/Manistee 7.2."
holland_mi/lake_whitefish,holland_mi,lake_whitefish,research_candidate,numeric_private,B,4,admitted_private_numeric,Grand Haven 4,Grand Haven 4,"Five positive historical Catch years and current grouped-pier identification establish an intentional cold-season opportunity, but no modern positive row supports exceeding the lawful 4.0 anchor."
holland_mi/round_whitefish,holland_mi,round_whitefish,research_candidate,research_hold_unscored,C,,retained_unscored,,,Two isolated positive years do not establish current recurrence or a defensible annual shape. No placeholder score is permitted.
holland_mi/channel_catfish,holland_mi,channel_catfish,research_candidate,research_hold_unscored,C,,retained_unscored,,,One positive Catch year and Lake Macatawa context cannot establish a recurring north-pier/channel target. No placeholder score is permitted.
holland_mi/largemouth_bass,holland_mi,largemouth_bass,research_candidate,research_hold_unscored,C,,retained_unscored,,,Sparse port rows and Lake Macatawa targeting remain insufficiently allocated to the covered north-pier/channel boundary. No placeholder score is permitted.
holland_mi/atlantic_salmon,holland_mi,atlantic_salmon,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
holland_mi/northern_pike,holland_mi,northern_pike,hold,research_hold_unscored,C,,retained_unscored,,,The reviewed Pier/Dock strata are zero and the credible lead belongs primarily to Lake Macatawa rather than the covered Lake Michigan structure. No placeholder score is permitted.
holland_mi/burbot,holland_mi,burbot,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
holland_mi/white_perch,holland_mi,white_perch,hold,research_hold_unscored,C,,retained_unscored,,,"A single high 2020 event is preserved, but one year cannot support recurrence or a complete annual shape. No placeholder score is permitted."
holland_mi/white_bass,holland_mi,white_bass,research_candidate,research_hold_unscored,C,,retained_unscored,,,One positive Catch year is insufficient for numeric admission. No placeholder score is permitted.
holland_mi/bluegill,holland_mi,bluegill,research_candidate,exclude_unscored,D,,excluded_by_product_policy,,,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created."
lexington_mi/chinook_salmon,lexington_mi,chinook_salmon,research_candidate,numeric_private,A,5.6,admitted_private_numeric,Oscoda 5.5,Muskegon 6.5,"Sixteen positive Catch years establish historical recurrence, while zero recent Catch rows and current roadmap evidence support a limited peak just above Oscoda 5.5."
lexington_mi/coho_salmon,lexington_mi,coho_salmon,research_candidate,numeric_private,A,6.8,admitted_private_numeric,Kewaunee 6.8,Kewaunee 6.8,"Twelve positive Catch years, eight modern years, and strong recent matched-effort magnitude support a peak above Oscoda 6.5 and below Algoma 7.0."
lexington_mi/steelhead,lexington_mi,steelhead,research_candidate,numeric_private,A,8.8,admitted_private_numeric,South Haven 8.8,South Haven 8.8,Twenty-one positive Catch years and exceptional modern/recent matched-effort magnitude support an excellent peak below Grand Haven 9.2 and above Whitehall 8.7.
lexington_mi/brown_trout,lexington_mi,brown_trout,research_candidate,numeric_private,A,5,admitted_private_numeric,Harrisville 5,Harrisville 5,"Fourteen positive historical Catch years support recurrence, but no recent positive row places the current ceiling just above Port Sanilac 4.8 and below Alpena 5.4."
lexington_mi/lake_trout,lexington_mi,lake_trout,research_candidate,numeric_private,B,4.8,admitted_private_numeric,Oscoda 4.6,Alpena 5,Two positive Pier/Dock years plus current port-roadmap targeting support a modest fishery between Oscoda 4.6 and Alpena 5.0. Mixed-mode roadmap evidence is disclosed rather than transferred as magnitude.
lexington_mi/walleye,lexington_mi,walleye,research_candidate,numeric_private,A,5.8,admitted_private_numeric,Whitehall 5.8,Whitehall 5.8,Eleven positive Catch years with five modern years support a recurring fishery below Harbor Beach 6.0; measured recent magnitude does not support the stronger Port Sanilac/Oscoda tier.
lexington_mi/smallmouth_bass,lexington_mi,smallmouth_bass,research_candidate,numeric_private,A,6,admitted_private_numeric,Ludington 5.8,Whitehall 6.3,"Eighteen positive Catch years and eight modern years support a strong fishery above Ludington 5.8 and below Whitehall 6.3, with recent decline visible in the limitation."
lexington_mi/freshwater_drum,lexington_mi,freshwater_drum,research_candidate,numeric_private,A,4.8,admitted_private_numeric,Manistee 4.7,Ludington 5,Seven positive Catch years establish a recurring ordinary fishery just above Manistee 4.7 and below Ludington 5.0; recent measured strength is low.
lexington_mi/yellow_perch,lexington_mi,yellow_perch,research_candidate,numeric_private,A,8.5,admitted_private_numeric,Chicago 8.4,,"Twenty-two positive Catch years, ten modern years, very high magnitude, and four recent positive years support the strongest new-city perch peak, above Chicago 8.4 but below no established higher value."
lexington_mi/lake_whitefish,lexington_mi,lake_whitefish,hold,research_hold_unscored,C,,retained_unscored,,,The current roadmap does not establish a Lexington lake-whitefish target and all 42 enumerated Pier/Dock Catch strata are zero. No placeholder score is permitted.
lexington_mi/round_whitefish,lexington_mi,round_whitefish,hold,research_hold_unscored,C,,retained_unscored,,,One positive year followed by recent zeros is insufficient for recurring intentional opportunity. No placeholder score is permitted.
lexington_mi/channel_catfish,lexington_mi,channel_catfish,research_candidate,numeric_private,B,4.3,admitted_private_numeric,Oscoda 4.2,Whitehall 5,Six positive Catch years establish a limited recurring fishery just above Oscoda 4.2; low modern/recent magnitude prevents a stronger placement.
lexington_mi/largemouth_bass,lexington_mi,largemouth_bass,research_candidate,numeric_private,A,5.6,admitted_private_numeric,Michigan City 5.5,Muskegon 6.5,Seven positive Catch years and three modern years support an ordinary warm-season fishery above Michigan City 5.5 and below Muskegon 6.5.
lexington_mi/atlantic_salmon,lexington_mi,atlantic_salmon,research_candidate,numeric_private,A,8,admitted_private_numeric,Alpena 7.2,Oscoda 8.4,"Six modern positive Pier/Dock years, three recent years, exact-harbor stocking, the DNR experimental program, and exact-harbor occurrence support an excellent peak below Oscoda 8.4 and above Alpena 7.2."
lexington_mi/northern_pike,lexington_mi,northern_pike,research_candidate,numeric_private,A,6,admitted_private_numeric,Alpena 5.5,,"Nineteen positive Catch years, ten modern years, and persistent recent occurrence support a strong new top pier-pike anchor above Alpena 5.5."
lexington_mi/burbot,lexington_mi,burbot,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
lexington_mi/white_perch,lexington_mi,white_perch,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
lexington_mi/white_bass,lexington_mi,white_bass,research_candidate,numeric_private,B,5.5,admitted_private_numeric,Grand Haven 5.2,,Six positive Catch years and high episodic magnitude support a recurring warm-season fishery above Grand Haven 5.2. Concentration in few years is disclosed in Grade B.
lexington_mi/bluegill,lexington_mi,bluegill,research_candidate,exclude_unscored,D,,excluded_by_product_policy,,,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created."
harrisville_mi/chinook_salmon,harrisville_mi,chinook_salmon,research_candidate,numeric_private,A,6.6,admitted_private_numeric,Muskegon 6.5,St. Joseph 6.8,"Seven historical positive Pier/Dock Catch years, regular fall harbor reports, and 2025 catches from permitted unoccupied docks support a strong peak above the existing Lake Huron cohort and below St. Joseph 6.8."
harrisville_mi/coho_salmon,harrisville_mi,coho_salmon,research_candidate,numeric_private,B,6.2,admitted_private_numeric,Harbor Beach 5.8,Muskegon 6.4,"Exact-harbor winter reports and 2025 catches from permitted unoccupied docks establish two recurring seasonal modes. Missing standardized dock effort places confidence at B, not a numeric penalty."
harrisville_mi/steelhead,harrisville_mi,steelhead,research_candidate,numeric_private,B,5.7,admitted_private_numeric,Harbor Beach 5.6,Alpena 5.8,"A historical Pier/Dock positive, current port-roadmap targeting, 2025 diverse-port reporting, and direct harbor stocking jointly establish a real local fishery. The peak sits between Harbor Beach 5.6 and Alpena/Milwaukee 5.8; exact dock allocation remains limited."
harrisville_mi/brown_trout,harrisville_mi,brown_trout,research_candidate,numeric_private,B,5,admitted_private_numeric,Lexington 5,Lexington 5,Two historical Pier/Dock positive years and an exact-harbor report of six or seven fish before freeze establish a modest recurring cold-season opportunity above Port Sanilac 4.8 and below Alpena 5.4.
harrisville_mi/lake_trout,harrisville_mi,lake_trout,hold,research_hold_unscored,C,,retained_unscored,,,"The current advisory calls the broader summer/boat fishery very good, but neither the roadmap nor advisory allocates recurring lake-trout catch to the covered docks or harbor edge. No placeholder score is permitted."
harrisville_mi/walleye,harrisville_mi,walleye,hold,research_hold_unscored,C,,retained_unscored,,,One historical Pier/Dock positive and mixed-mode current port evidence are not enough to allocate recurring magnitude to covered dock fishing. No placeholder score is permitted.
harrisville_mi/smallmouth_bass,harrisville_mi,smallmouth_bass,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/freshwater_drum,harrisville_mi,freshwater_drum,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/yellow_perch,harrisville_mi,yellow_perch,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/lake_whitefish,harrisville_mi,lake_whitefish,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/round_whitefish,harrisville_mi,round_whitefish,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/channel_catfish,harrisville_mi,channel_catfish,hold,research_hold_unscored,C,,retained_unscored,,,One historical positive Pier/Dock year provides a lead but not recurrence or a defensible seasonal shape. No placeholder score is permitted.
harrisville_mi/largemouth_bass,harrisville_mi,largemouth_bass,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/atlantic_salmon,harrisville_mi,atlantic_salmon,research_candidate,numeric_private,B,5.8,admitted_private_numeric,Harbor Beach 5.2,Port Sanilac 6.3,"DNR advisory records describe occasional fall Atlantic salmon and a developed winter harbor fishery, while the current roadmap lists fall Atlantic opportunity. This supports a modest peak above Harbor Beach 5.2 and below Port Sanilac 6.3; proposed stocking is not treated as implemented."
harrisville_mi/northern_pike,harrisville_mi,northern_pike,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/burbot,harrisville_mi,burbot,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/white_perch,harrisville_mi,white_perch,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/white_bass,harrisville_mi,white_bass,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
harrisville_mi/bluegill,harrisville_mi,bluegill,exclude,exclude_unscored,D,,excluded_by_product_policy,,,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created."
