pairKey,cityId,speciesId,disposition,evidenceGrade,reason,nextEvidence
"michigan_city_in/lake_trout","michigan_city_in","lake_trout","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The agency shore guide characterizes lake trout as a boat fishery; retain only as an occurrence lead pending repeat East Pier evidence.","Find repeated, current, species-specific lake_trout target/catch evidence at the covered structure before numeric consideration."
"michigan_city_in/walleye","michigan_city_in","walleye","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Available agency shore evidence points to the separate NIPSCO discharge rather than Washington Park East Pier.","Find repeated, current, species-specific walleye target/catch evidence at the covered structure before numeric consideration."
"michigan_city_in/freshwater_drum","michigan_city_in","freshwater_drum","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Available agency shore evidence points to the separate NIPSCO discharge rather than Washington Park East Pier.","Find repeated, current, species-specific freshwater_drum target/catch evidence at the covered structure before numeric consideration."
"michigan_city_in/lake_whitefish","michigan_city_in","lake_whitefish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The exact-site coho guide names whitefish as possible bottom-rig catch; Pass 2 must establish recurrence and strength.","Quantify covered-structure lake_whitefish season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"michigan_city_in/round_whitefish","michigan_city_in","round_whitefish","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure round_whitefish evidence is found; do not interpret this row as proof of absence."
"michigan_city_in/channel_catfish","michigan_city_in","channel_catfish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Available agency shore evidence points to the separate NIPSCO discharge rather than Washington Park East Pier.","Find repeated, current, species-specific channel_catfish target/catch evidence at the covered structure before numeric consideration."
"michigan_city_in/atlantic_salmon","michigan_city_in","atlantic_salmon","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure atlantic_salmon evidence is found; do not interpret this row as proof of absence."
"michigan_city_in/northern_pike","michigan_city_in","northern_pike","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure northern_pike evidence is found; do not interpret this row as proof of absence."
"michigan_city_in/burbot","michigan_city_in","burbot","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure burbot evidence is found; do not interpret this row as proof of absence."
"michigan_city_in/white_perch","michigan_city_in","white_perch","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure white_perch evidence is found; do not interpret this row as proof of absence."
"michigan_city_in/white_bass","michigan_city_in","white_bass","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure white_bass evidence is found; do not interpret this row as proof of absence."
"muskegon_mi/lake_trout","muskegon_mi","lake_trout","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port-level Pier/Dock estimates are positive only in 1993 and 2015; advance for careful Pass 2 testing as a sparse seasonal fishery, never as a presumed primary.","Quantify covered-structure lake_trout season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"muskegon_mi/round_whitefish","muskegon_mi","round_whitefish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port Pier/Dock estimates recur historically and again in 2022, but species identity and magnitude need review.","Quantify covered-structure round_whitefish season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"muskegon_mi/atlantic_salmon","muskegon_mi","atlantic_salmon","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure atlantic_salmon evidence is found; do not interpret this row as proof of absence."
"muskegon_mi/burbot","muskegon_mi","burbot","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure burbot evidence is found; do not interpret this row as proof of absence."
"muskegon_mi/white_bass","muskegon_mi","white_bass","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Only 2017 and 2018 port Pier/Dock positives were found, insufficient for direct admission without current exact-segment support.","Find repeated, current, species-specific white_bass target/catch evidence at the covered structure before numeric consideration."
"whitehall_mi/lake_trout","whitehall_mi","lake_trout","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port Pier/Dock positives occur only in 2008 and 2015, so Pass 2 must test a weak, narrow opportunity.","Quantify covered-structure lake_trout season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"whitehall_mi/round_whitefish","whitehall_mi","round_whitefish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port positives occur only in 2000 and 2005; current recurrence is unproven.","Find repeated, current, species-specific round_whitefish target/catch evidence at the covered structure before numeric consideration."
"whitehall_mi/atlantic_salmon","whitehall_mi","atlantic_salmon","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. A single positive port estimate in 2001 is an occurrence lead, not a current fishery.","Find repeated, current, species-specific atlantic_salmon target/catch evidence at the covered structure before numeric consideration."
"whitehall_mi/burbot","whitehall_mi","burbot","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure burbot evidence is found; do not interpret this row as proof of absence."
"whitehall_mi/white_perch","whitehall_mi","white_perch","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Two positive port years, 2016 and 2018, justify research but require exact Medbery confirmation.","Quantify covered-structure white_perch season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"whitehall_mi/white_bass","whitehall_mi","white_bass","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Only one positive port year, 2015, was found.","Find repeated, current, species-specific white_bass target/catch evidence at the covered structure before numeric consideration."
"alpena_mi/lake_whitefish","alpena_mi","lake_whitefish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The agency names lake whitefish for Alpena Harbor, while reviewed port Pier/Dock rows are explicit zeros; current exact-breakwall magnitude is unknown.","Quantify covered-structure lake_whitefish season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"alpena_mi/round_whitefish","alpena_mi","round_whitefish","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure round_whitefish evidence is found; do not interpret this row as proof of absence."
"alpena_mi/channel_catfish","alpena_mi","channel_catfish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Positive port estimates occur in 2012 and 2013 only and are not corroborated by the current named-harbor list.","Find repeated, current, species-specific channel_catfish target/catch evidence at the covered structure before numeric consideration."
"alpena_mi/largemouth_bass","alpena_mi","largemouth_bass","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Positive port estimates occur in 2012 and 2020 only and are not corroborated by the current named-harbor list.","Find repeated, current, species-specific largemouth_bass target/catch evidence at the covered structure before numeric consideration."
"alpena_mi/burbot","alpena_mi","burbot","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure burbot evidence is found; do not interpret this row as proof of absence."
"alpena_mi/white_perch","alpena_mi","white_perch","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure white_perch evidence is found; do not interpret this row as proof of absence."
"alpena_mi/white_bass","alpena_mi","white_bass","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure white_bass evidence is found; do not interpret this row as proof of absence."
"alpena_mi/bluegill","alpena_mi","bluegill","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Only one positive port year, 2012, was found.","Find repeated, current, species-specific bluegill target/catch evidence at the covered structure before numeric consideration."
