pairKey,cityId,speciesId,disposition,evidenceGrade,previousPeak,auditedPeak,outcome,weakerOrEqualAnchor,strongerOrEqualAnchor,finding
"chicago_il/round_whitefish","chicago_il","round_whitefish","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"chicago_il/channel_catfish","chicago_il","channel_catfish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. A credible local occurrence or nearby-mode lead exists, but recurring intentional fishing at the covered structure is not yet established."
"chicago_il/largemouth_bass","chicago_il","largemouth_bass","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Named agency or recurring exact-area evidence supports this species as a Pass 2 research candidate; no numeric admission is implied."
"chicago_il/atlantic_salmon","chicago_il","atlantic_salmon","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"chicago_il/northern_pike","chicago_il","northern_pike","numeric_private","B","4.7","4.7","retained","Harbor Beach 4.6","Muskegon, Michigan 4.8","Recurring current Montrose harbor reports establish a modest targeted pike opportunity without enough magnitude evidence for a strong-band score."
"chicago_il/burbot","chicago_il","burbot","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. An exact Montrose state-record catch establishes occurrence only."
"chicago_il/white_perch","chicago_il","white_perch","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"chicago_il/white_bass","chicago_il","white_bass","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The city page's 'silver bass' wording is taxonomically ambiguous and cannot be treated as white-bass proof."
"chicago_il/bluegill","chicago_il","bluegill","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. A credible local occurrence or nearby-mode lead exists, but recurring intentional fishing at the covered structure is not yet established."
"michigan_city_in/chinook_salmon","michigan_city_in","chinook_salmon","numeric_private","B","7.7","7.4","revised","Kenosha 7.4","Kenosha 7.4","Agency guidance characterizes Chinook as a 'some pier' opportunity and the current report describes only a few shore fish. Those direct qualitative magnitude constraints place Michigan City with Kenosha, below Waukegan and Grand Haven."
"michigan_city_in/coho_salmon","michigan_city_in","coho_salmon","numeric_private","B","8.7","8.7","retained","Frankfort–Elberta 8.6","Grand Haven 8.8","Washington Park and the inner harbor are agency-named spring-coho sites with March identified as the most consistent shore period; the peak sits just below Grand Haven and Waukegan."
"michigan_city_in/steelhead","michigan_city_in","steelhead","numeric_private","B","8.5","8.5","retained","Ludington 8.1","Whitehall, Michigan 8.7","The agency documents both a summer Skamania pier fishery and a late-fall/winter run, supporting an excellent multi-window ceiling below Grand Haven and above Ludington."
"michigan_city_in/brown_trout","michigan_city_in","brown_trout","numeric_private","B","6","6","retained","Alpena, Michigan 5.4","Chicago, Illinois 6.2","Exact-site agency guidance names brown trout as a recurring cold-water pier catch, but lacks a magnitude series; placement remains below Kenosha and Chicago."
"michigan_city_in/lake_trout","michigan_city_in","lake_trout","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The agency shore guide characterizes lake trout as a boat fishery; retain only as an occurrence lead pending repeat East Pier evidence."
"michigan_city_in/walleye","michigan_city_in","walleye","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Available agency shore evidence points to the separate NIPSCO discharge rather than Washington Park East Pier."
"michigan_city_in/smallmouth_bass","michigan_city_in","smallmouth_bass","numeric_private","B","5.7","5.7","retained","Port Sanilac 5.4","Ludington 5.8","Agency guidance repeatedly assigns bass to protected pier and marina habitat; the ordinary ceiling stays just below Ludington because exact-city catch magnitude is missing."
"michigan_city_in/freshwater_drum","michigan_city_in","freshwater_drum","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Available agency shore evidence points to the separate NIPSCO discharge rather than Washington Park East Pier."
"michigan_city_in/yellow_perch","michigan_city_in","yellow_perch","numeric_private","B","6.8","6.2","revised","Muskegon, Michigan 5.2","Grand Haven 7.2","Indiana DNR identifies a recurring June-through-mid-September pier fishery but describes shore availability as limited. That magnitude language places Michigan City below the quantitative Grand Haven and Manistee anchors."
"michigan_city_in/lake_whitefish","michigan_city_in","lake_whitefish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The exact-site coho guide names whitefish as possible bottom-rig catch; Pass 2 must establish recurrence and strength."
"michigan_city_in/round_whitefish","michigan_city_in","round_whitefish","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"michigan_city_in/channel_catfish","michigan_city_in","channel_catfish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Available agency shore evidence points to the separate NIPSCO discharge rather than Washington Park East Pier."
"michigan_city_in/largemouth_bass","michigan_city_in","largemouth_bass","numeric_private","B","5.5","5.5","retained","","Muskegon, Michigan 6.5","Agency shore guidance supports intentional bass fishing in the protected Washington Park marina setting; no exact catch series supports a higher value."
"michigan_city_in/atlantic_salmon","michigan_city_in","atlantic_salmon","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"michigan_city_in/northern_pike","michigan_city_in","northern_pike","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"michigan_city_in/burbot","michigan_city_in","burbot","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"michigan_city_in/white_perch","michigan_city_in","white_perch","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"michigan_city_in/white_bass","michigan_city_in","white_bass","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"michigan_city_in/bluegill","michigan_city_in","bluegill","numeric_private","B","4.8","5.2","revised","Whitehall, Michigan 5.2","Whitehall, Michigan 5.2","The agency shore guide describes bluegill and other sunfish as common at Washington Park marina, supporting an ordinary summer fishery equal to Whitehall and below Grand Haven."
"muskegon_mi/chinook_salmon","muskegon_mi","chinook_salmon","numeric_private","A","7.7","6.5","revised","Oscoda 5.5","Chicago, Illinois 7","Fifteen historical positive Pier/Dock years and exact channel guidance establish a real fall fishery, but the modern series falls to 47 fish and the recent series to one fish with four surveyed fall zeros. That observed current weakness supports a strong-band floor rather than placement beside Grand Haven and Waukegan."
"muskegon_mi/coho_salmon","muskegon_mi","coho_salmon","numeric_private","A","6.4","6.4","retained","Port Sanilac 6.4","Port Sanilac 6.4","Fourteen positive port years through 2021 establish recurring spring and fall opportunity; measured catch strength remains below the stronger Wisconsin and southern Lake Michigan coho ports."
"muskegon_mi/steelhead","muskegon_mi","steelhead","numeric_private","A","8","8","retained","Kewaunee 7.8","Ludington 8.1","Twenty-seven positive port years through 2022 and exact channel guidance support an excellent spring/fall ceiling immediately below Ludington."
"muskegon_mi/brown_trout","muskegon_mi","brown_trout","numeric_private","A","7","7","retained","Waukegan 7","Waukegan 7","Twenty-six positive port years through 2022 support a strong recurring spring fishery; measured magnitude remains below the top Michigan and Wisconsin brown-trout ports."
"muskegon_mi/lake_trout","muskegon_mi","lake_trout","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port-level Pier/Dock estimates are positive only in 1993 and 2015; advance for careful Pass 2 testing as a sparse seasonal fishery, never as a presumed primary."
"muskegon_mi/walleye","muskegon_mi","walleye","numeric_private","A","6.4","6.4","retained","Port Sanilac 6.2","Oscoda 6.8","Seventeen of eighteen surveyed years are positive through 2022 and channel guidance names walleye, supporting a strong ceiling below Alpena and Oscoda."
"muskegon_mi/smallmouth_bass","muskegon_mi","smallmouth_bass","numeric_private","A","6.6","6.6","retained","Chicago, Illinois 6.5","Grand Haven 7","Fourteen of fifteen port years are positive through 2022 and the current fishery report names channel/pierhead habitat, placing Muskegon below Grand Haven and above Chicago."
"muskegon_mi/freshwater_drum","muskegon_mi","freshwater_drum","numeric_private","A","6.2","6.2","retained","Chicago, Illinois 5.6","Grand Haven 7.2","Ten of eleven surveyed years are positive through 2022 with substantial warm-season catch, placing the port below Grand Haven but above Chicago and Ludington."
"muskegon_mi/yellow_perch","muskegon_mi","yellow_perch","numeric_private","A","5.2","5.2","retained","Port Sanilac 5","Michigan City, Indiana 6.2","Historical recurrence and exact channel guidance establish a real fishery, but the modern 2012-22 Catch series is only 52 fish over 27,515 matched hours with many in-season zeros. That observed weakness places the ceiling between Port Sanilac and Kenosha."
"muskegon_mi/lake_whitefish","muskegon_mi","lake_whitefish","numeric_private","B","8.8","4","revised","Grand Haven 4","Grand Haven 4","Exact channel guidance and the November protection rule establish an intentional cold-season opportunity. Michigan DNR says much of the port harvest was snagged, so the large creel totals cannot measure lawful bite strength; the defensible lawful calibration is the same ordinary 4.0 anchor used at Grand Haven."
"muskegon_mi/round_whitefish","muskegon_mi","round_whitefish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port Pier/Dock estimates recur historically and again in 2022, but species identity and magnitude need review."
"muskegon_mi/channel_catfish","muskegon_mi","channel_catfish","numeric_private","A","6","6","retained","Whitehall, Michigan 5","Grand Haven 6.8","Thirteen of fourteen surveyed years are positive through 2022 and exact channel guidance names catfish; magnitude remains below Grand Haven."
"muskegon_mi/largemouth_bass","muskegon_mi","largemouth_bass","numeric_private","A","6.5","6.5","retained","Michigan City, Indiana 5.5","Whitehall, Michigan 7.1","Nine of ten surveyed port years are positive through 2022; direct recurrence supports a strong warm-season value below Grand Haven."
"muskegon_mi/atlantic_salmon","muskegon_mi","atlantic_salmon","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"muskegon_mi/northern_pike","muskegon_mi","northern_pike","numeric_private","A","4.8","4.8","retained","Chicago, Illinois 4.7","Whitehall, Michigan 4.9","Five positive port years through 2021 support an ordinary harbor opportunity near the established Michigan pike cohort."
"muskegon_mi/burbot","muskegon_mi","burbot","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"muskegon_mi/white_perch","muskegon_mi","white_perch","numeric_private","A","5.7","5.7","retained","Grand Haven 5.6","","Five consecutive positive port years from 2016 through 2020 and substantial catch support a recurring warm-season fishery just above Grand Haven."
"muskegon_mi/white_bass","muskegon_mi","white_bass","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Only 2017 and 2018 port Pier/Dock positives were found, insufficient for direct admission without current exact-segment support."
"muskegon_mi/bluegill","muskegon_mi","bluegill","numeric_private","A","6","6","retained","Grand Haven 5.8","","Ten of twelve port years are positive through 2022 with a strong summer concentration, slightly above the Grand Haven reference."
"whitehall_mi/chinook_salmon","whitehall_mi","chinook_salmon","numeric_private","A","9.3","9.3","retained","Kewaunee 9.1","Sheboygan 9.4","Sixteen of seventeen port years are positive with high fall catch magnitude, placing this elite run below Sheboygan and above Kewaunee. Port allocation uncertainty is disclosed rather than multiplied into strength."
"whitehall_mi/coho_salmon","whitehall_mi","coho_salmon","numeric_private","A","7.4","7.4","retained","Manitowoc 7.2","Chicago, Illinois 8.2","Twelve of thirteen port years are positive through 2018, with fall stronger than spring, supporting a strong peak above Manitowoc."
"whitehall_mi/steelhead","whitehall_mi","steelhead","numeric_private","A","8.7","8.7","retained","Michigan City, Indiana 8.5","Grand Haven 9.2","All fifteen surveyed port years are positive through 2018 with strong April and October catch, placing Whitehall above Ludington and below Grand Haven."
"whitehall_mi/brown_trout","whitehall_mi","brown_trout","numeric_private","A","7.7","7.7","retained","Algoma 7.6","Sheboygan 7.8","All seventeen surveyed port years are positive through 2018, supporting a strong spring peak between Algoma and Sheboygan."
"whitehall_mi/lake_trout","whitehall_mi","lake_trout","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port Pier/Dock positives occur only in 2008 and 2015, so Pass 2 must test a weak, narrow opportunity."
"whitehall_mi/walleye","whitehall_mi","walleye","numeric_private","A","5.8","5.8","retained","Frankfort–Elberta 4.5","Harbor Beach 6","All twelve surveyed port years are positive through 2018, but magnitude is below the stronger Alpena, Oscoda, and Muskegon placements."
"whitehall_mi/smallmouth_bass","whitehall_mi","smallmouth_bass","numeric_private","A","6.3","6.3","retained","Ludington 5.8","Chicago, Illinois 6.5","Thirteen of fourteen surveyed port years are positive through 2018, supporting a strong value between Chicago and Muskegon."
"whitehall_mi/freshwater_drum","whitehall_mi","freshwater_drum","numeric_private","A","5.6","5.6","retained","Chicago, Illinois 5.6","Chicago, Illinois 5.6","All nine surveyed port years are positive through 2018, supporting a strong recurring summer fishery equal to Chicago and below Muskegon."
"whitehall_mi/yellow_perch","whitehall_mi","yellow_perch","numeric_private","A","8","8","retained","Alpena, Michigan 7.6","Chicago, Illinois 8.4","Eight of ten surveyed years are positive with high summer magnitude. July is the recurring peak; the extraordinary September estimate occurs in only one sampled year and 2018 is zero, so the ceiling remains below current Chicago evidence."
"whitehall_mi/lake_whitefish","whitehall_mi","lake_whitefish","numeric_private","B","7.8","4","revised","Grand Haven 4","Grand Haven 4","The current agency names White Lake pier/channel waters and the November rule confirms an intentional seasonal opportunity. With no positive port catch row and DNR warning that much port harvest was snagged, no lawful magnitude above Grand Haven's ordinary 4.0 anchor is defensible."
"whitehall_mi/round_whitefish","whitehall_mi","round_whitefish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Port positives occur only in 2000 and 2005; current recurrence is unproven."
"whitehall_mi/channel_catfish","whitehall_mi","channel_catfish","numeric_private","A","5","5","retained","Oscoda 4.2","Muskegon, Michigan 6","Five of six surveyed port years are positive through 2018; observed magnitude supports an ordinary fishery below Muskegon and Grand Haven."
"whitehall_mi/largemouth_bass","whitehall_mi","largemouth_bass","numeric_private","A","7.1","7.1","retained","Muskegon, Michigan 6.5","Grand Haven 7.4","Twelve of thirteen surveyed port years are positive with strong summer catch, just below Grand Haven's established 7.4 reference."
"whitehall_mi/atlantic_salmon","whitehall_mi","atlantic_salmon","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. A single positive port estimate in 2001 is an occurrence lead, not a current fishery."
"whitehall_mi/northern_pike","whitehall_mi","northern_pike","numeric_private","A","4.9","4.9","retained","Muskegon, Michigan 4.8","Manistee 5","Seven of eight surveyed port years are positive through 2018, supporting an ordinary ceiling within the established Michigan pike band."
"whitehall_mi/burbot","whitehall_mi","burbot","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"whitehall_mi/white_perch","whitehall_mi","white_perch","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Two positive port years, 2016 and 2018, justify research but require exact Medbery confirmation."
"whitehall_mi/white_bass","whitehall_mi","white_bass","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Only one positive port year, 2015, was found."
"whitehall_mi/bluegill","whitehall_mi","bluegill","numeric_private","A","5.2","5.2","retained","Michigan City, Indiana 5.2","Michigan City, Indiana 5.2","Five of six surveyed port years are positive through 2018 with a clear summer concentration, below Grand Haven and Muskegon."
"alpena_mi/chinook_salmon","alpena_mi","chinook_salmon","numeric_private","B","5.4","5.4","retained","Port Sanilac 5","Oscoda 5.5","Two positive port years and the current exact-harbor agency listing support a limited fall fishery equal to the lower Lake Huron cohort; old recurrence prevents a stronger value."
"alpena_mi/coho_salmon","alpena_mi","coho_salmon","numeric_private","B","","6.5","promoted_from_hold","Oscoda 6.5","Oscoda 6.5","Michigan DNR lists coho for Alpena Harbor and has stocked 31,464 to 94,892 coho annually into the connected Thunder Bay River in each of 2023-26. With no positive modern Pier/Dock creel row, the ceiling is held to Oscoda's 6.5 rather than placed with stronger Lake Michigan ports."
"alpena_mi/steelhead","alpena_mi","steelhead","numeric_private","B","","5.8","promoted_from_hold","Milwaukee 5.8","Milwaukee 5.8","Michigan DNR lists steelhead for Alpena Harbor and as a spring and fall Alpena target, while annual 2023-26 Thunder Bay River stocking confirms current local support. The roughly 20,000 annual release is materially below the Au Sable program, and zero modern Pier/Dock rows keep Alpena below Oscoda's 7.4."
"alpena_mi/brown_trout","alpena_mi","brown_trout","numeric_private","B","5.4","5.4","retained","Port Sanilac 4.8","Michigan City, Indiana 6","Three positive port years through 2018 plus the current exact-harbor listing establish a real spring opportunity above Port Sanilac but below stronger Lake Michigan ports."
"alpena_mi/lake_trout","alpena_mi","lake_trout","numeric_private","B","","5","promoted_from_hold","Oscoda 4.6","Harbor Beach 5.3","Michigan DNR lists lake trout for Alpena Harbor and identifies summer and early-fall Alpena opportunity; the Pier/Dock series includes a positive April 2007 catch. Six later zero years and mixed boat context keep the ceiling below Harbor Beach and Port Sanilac, while the MH-2 October-December closure is enforced separately."
"alpena_mi/walleye","alpena_mi","walleye","numeric_private","A","7.4","7.4","retained","Oscoda 6.8","","Five positive port years through 2019 with high effort-normalized catch and a current harbor listing support the strongest walleye ceiling in the current pier cohort."
"alpena_mi/smallmouth_bass","alpena_mi","smallmouth_bass","numeric_private","A","8","8","retained","Grand Haven 7","","Ten positive port years through 2020 and very high catch magnitude support an excellent harbor fishery above Grand Haven."
"alpena_mi/freshwater_drum","alpena_mi","freshwater_drum","numeric_private","B","4.2","4.2","retained","Oscoda 3.9","Manistee 4.7","Three positive port years from 2012-15 establish recurring low-magnitude opportunity just above Oscoda; the current agency harbor list omits drum, preventing a higher placement."
"alpena_mi/yellow_perch","alpena_mi","yellow_perch","numeric_private","A","8.8","7.6","revised","Ludington 7.6","Ludington 7.6","Ten historical positive port years and several exceptional fall catches establish a strong fishery, while the last positive year is 2015 and the prime October stratum is zero in 2018, 2020, and 2021. The current agency listing supports retention, but the observed modern weakness places Alpena with Ludington rather than above current Chicago evidence."
"alpena_mi/lake_whitefish","alpena_mi","lake_whitefish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The agency names lake whitefish for Alpena Harbor, while reviewed port Pier/Dock rows are explicit zeros; current exact-breakwall magnitude is unknown."
"alpena_mi/round_whitefish","alpena_mi","round_whitefish","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"alpena_mi/channel_catfish","alpena_mi","channel_catfish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Positive port estimates occur in 2012 and 2013 only and are not corroborated by the current named-harbor list."
"alpena_mi/largemouth_bass","alpena_mi","largemouth_bass","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Positive port estimates occur in 2012 and 2020 only and are not corroborated by the current named-harbor list."
"alpena_mi/atlantic_salmon","alpena_mi","atlantic_salmon","numeric_private","B","","7.2","promoted_from_hold","Port Sanilac 6.3","Oscoda 8.4","Michigan DNR lists Atlantic salmon for Alpena Harbor, maintains annual Thunder Bay River stocking comparable to the Au Sable program, and recorded 2024 Master Angler fish in both Thunder Bay and the river. Exact breakwall effort remains unmeasured, so the peak stays below Oscoda's 8.4."
"alpena_mi/northern_pike","alpena_mi","northern_pike","numeric_private","A","5.5","5.5","retained","Ludington 5.2","","Five positive port years plus the current harbor listing support the top value in the current pike cohort, modestly above Ludington."
"alpena_mi/burbot","alpena_mi","burbot","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"alpena_mi/white_perch","alpena_mi","white_perch","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"alpena_mi/white_bass","alpena_mi","white_bass","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"alpena_mi/bluegill","alpena_mi","bluegill","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Only one positive port year, 2012, was found."
