speciesId,speciesName,rank,cityId,cityName,pairKey,peak,cohort
"brown_trout","Brown trout","14","muskegon_mi","Muskegon, Michigan","muskegon_mi/brown_trout","7","new_private_pass2"
"brown_trout","Brown trout","15","waukegan_il","Waukegan","waukegan_il/brown_trout","7","established_or_prior_private_common_species"
"brown_trout","Brown trout","16","kenosha_wi","Kenosha","kenosha_wi/brown_trout","6.4","established_or_prior_private_common_species"
"brown_trout","Brown trout","17","chicago_il","Chicago, Illinois","chicago_il/brown_trout","6.2","new_private_pass2"
"brown_trout","Brown trout","18","michigan_city_in","Michigan City, Indiana","michigan_city_in/brown_trout","6","new_private_pass2"
"brown_trout","Brown trout","19","alpena_mi","Alpena, Michigan","alpena_mi/brown_trout","5.4","new_private_pass2"
"brown_trout","Brown trout","20","port_sanilac_mi","Port Sanilac","port_sanilac_mi/brown_trout","4.8","established_or_prior_private_common_species"
"burbot","Burbot","1","ludington_mi","Ludington","ludington_mi/burbot","4.6","established_michigan_all_species"
"burbot","Burbot","2","manistee_mi","Manistee","manistee_mi/burbot","4.5","established_michigan_all_species"
"channel_catfish","Channel catfish","1","grand_haven_mi","Grand Haven","grand_haven_mi/channel_catfish","6.8","established_michigan_all_species"
"channel_catfish","Channel catfish","2","muskegon_mi","Muskegon, Michigan","muskegon_mi/channel_catfish","6","new_private_pass2"
"channel_catfish","Channel catfish","3","whitehall_mi","Whitehall, Michigan","whitehall_mi/channel_catfish","5","new_private_pass2"
"channel_catfish","Channel catfish","4","oscoda_mi","Oscoda","oscoda_mi/channel_catfish","4.2","established_michigan_all_species"
"chinook_salmon","Chinook salmon","1","frankfort_elberta_mi","Frankfort–Elberta","frankfort_elberta_mi/chinook_salmon","9.7","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","2","manistee_mi","Manistee","manistee_mi/chinook_salmon","9.5","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","3","sheboygan_wi","Sheboygan","sheboygan_wi/chinook_salmon","9.4","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","4","whitehall_mi","Whitehall, Michigan","whitehall_mi/chinook_salmon","9.3","new_private_pass2"
"chinook_salmon","Chinook salmon","5","kewaunee_wi","Kewaunee","kewaunee_wi/chinook_salmon","9.1","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","6","algoma_wi","Algoma","algoma_wi/chinook_salmon","9","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","7","port_washington_wi","Port Washington","port_washington_wi/chinook_salmon","8.6","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","8","manitowoc_wi","Manitowoc","manitowoc_wi/chinook_salmon","8.5","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","9","two_rivers_wi","Two Rivers","two_rivers_wi/chinook_salmon","8.4","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","10","ludington_mi","Ludington","ludington_mi/chinook_salmon","8.3","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","11","racine_wi","Racine","racine_wi/chinook_salmon","8.1","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","12","grand_haven_mi","Grand Haven","grand_haven_mi/chinook_salmon","7.8","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","13","milwaukee_wi","Milwaukee","milwaukee_wi/chinook_salmon","7.8","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","14","waukegan_il","Waukegan","waukegan_il/chinook_salmon","7.6","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","15","kenosha_wi","Kenosha","kenosha_wi/chinook_salmon","7.4","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","16","michigan_city_in","Michigan City, Indiana","michigan_city_in/chinook_salmon","7.4","new_private_pass2"
"chinook_salmon","Chinook salmon","17","chicago_il","Chicago, Illinois","chicago_il/chinook_salmon","7","new_private_pass2"
"chinook_salmon","Chinook salmon","18","muskegon_mi","Muskegon, Michigan","muskegon_mi/chinook_salmon","6.5","new_private_pass2"
"chinook_salmon","Chinook salmon","19","oscoda_mi","Oscoda","oscoda_mi/chinook_salmon","5.5","established_or_prior_private_common_species"
"chinook_salmon","Chinook salmon","20","alpena_mi","Alpena, Michigan","alpena_mi/chinook_salmon","5.4","new_private_pass2"
"chinook_salmon","Chinook salmon","21","port_sanilac_mi","Port Sanilac","port_sanilac_mi/chinook_salmon","5","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","1","grand_haven_mi","Grand Haven","grand_haven_mi/coho_salmon","8.8","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","2","waukegan_il","Waukegan","waukegan_il/coho_salmon","8.8","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","3","michigan_city_in","Michigan City, Indiana","michigan_city_in/coho_salmon","8.7","new_private_pass2"
"coho_salmon","Coho salmon","4","frankfort_elberta_mi","Frankfort–Elberta","frankfort_elberta_mi/coho_salmon","8.6","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","5","kenosha_wi","Kenosha","kenosha_wi/coho_salmon","8.6","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","6","port_washington_wi","Port Washington","port_washington_wi/coho_salmon","8.5","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","7","racine_wi","Racine","racine_wi/coho_salmon","8.5","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","8","chicago_il","Chicago, Illinois","chicago_il/coho_salmon","8.2","new_private_pass2"
"coho_salmon","Coho salmon","9","manistee_mi","Manistee","manistee_mi/coho_salmon","8.2","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","10","milwaukee_wi","Milwaukee","milwaukee_wi/coho_salmon","8.2","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","11","sheboygan_wi","Sheboygan","sheboygan_wi/coho_salmon","8.2","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","12","whitehall_mi","Whitehall, Michigan","whitehall_mi/coho_salmon","7.4","new_private_pass2"
"coho_salmon","Coho salmon","13","manitowoc_wi","Manitowoc","manitowoc_wi/coho_salmon","7.2","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","14","two_rivers_wi","Two Rivers","two_rivers_wi/coho_salmon","7.1","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","15","algoma_wi","Algoma","algoma_wi/coho_salmon","7","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","16","kewaunee_wi","Kewaunee","kewaunee_wi/coho_salmon","6.8","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","17","alpena_mi","Alpena, Michigan","alpena_mi/coho_salmon","6.5","new_private_pass2"
"coho_salmon","Coho salmon","18","oscoda_mi","Oscoda","oscoda_mi/coho_salmon","6.5","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","19","muskegon_mi","Muskegon, Michigan","muskegon_mi/coho_salmon","6.4","new_private_pass2"
"coho_salmon","Coho salmon","20","port_sanilac_mi","Port Sanilac","port_sanilac_mi/coho_salmon","6.4","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","21","harbor_beach_mi","Harbor Beach","harbor_beach_mi/coho_salmon","5.8","established_or_prior_private_common_species"
"coho_salmon","Coho salmon","22","ludington_mi","Ludington","ludington_mi/coho_salmon","5.6","established_or_prior_private_common_species"
"freshwater_drum","Freshwater drum","1","grand_haven_mi","Grand Haven","grand_haven_mi/freshwater_drum","7.2","established_or_prior_private_common_species"
"freshwater_drum","Freshwater drum","2","muskegon_mi","Muskegon, Michigan","muskegon_mi/freshwater_drum","6.2","new_private_pass2"
"freshwater_drum","Freshwater drum","3","chicago_il","Chicago, Illinois","chicago_il/freshwater_drum","5.6","new_private_pass2"
"freshwater_drum","Freshwater drum","4","whitehall_mi","Whitehall, Michigan","whitehall_mi/freshwater_drum","5.6","new_private_pass2"
"freshwater_drum","Freshwater drum","5","ludington_mi","Ludington","ludington_mi/freshwater_drum","5","established_or_prior_private_common_species"
"freshwater_drum","Freshwater drum","6","manistee_mi","Manistee","manistee_mi/freshwater_drum","4.7","established_or_prior_private_common_species"
"freshwater_drum","Freshwater drum","7","alpena_mi","Alpena, Michigan","alpena_mi/freshwater_drum","4.2","new_private_pass2"
"freshwater_drum","Freshwater drum","8","oscoda_mi","Oscoda","oscoda_mi/freshwater_drum","3.9","established_or_prior_private_common_species"
"lake_trout","Lake trout","1","port_sanilac_mi","Port Sanilac","port_sanilac_mi/lake_trout","5.5","established_or_prior_private_common_species"
"lake_trout","Lake trout","2","chicago_il","Chicago, Illinois","chicago_il/lake_trout","5.4","new_private_pass2"
"lake_trout","Lake trout","3","harbor_beach_mi","Harbor Beach","harbor_beach_mi/lake_trout","5.3","established_or_prior_private_common_species"
"lake_trout","Lake trout","4","alpena_mi","Alpena, Michigan","alpena_mi/lake_trout","5","new_private_pass2"
"lake_trout","Lake trout","5","oscoda_mi","Oscoda","oscoda_mi/lake_trout","4.6","established_or_prior_private_common_species"
"lake_trout","Lake trout","6","kewaunee_wi","Kewaunee","kewaunee_wi/lake_trout","4.2","established_or_prior_private_common_species"
"lake_trout","Lake trout","7","frankfort_elberta_mi","Frankfort–Elberta","frankfort_elberta_mi/lake_trout","4","established_or_prior_private_common_species"
"lake_trout","Lake trout","8","manistee_mi","Manistee","manistee_mi/lake_trout","4","established_or_prior_private_common_species"
"lake_trout","Lake trout","9","ludington_mi","Ludington","ludington_mi/lake_trout","3.8","established_or_prior_private_common_species"
"lake_trout","Lake trout","10","grand_haven_mi","Grand Haven","grand_haven_mi/lake_trout","3.6","established_or_prior_private_common_species"
"lake_whitefish","Lake whitefish","1","grand_haven_mi","Grand Haven","grand_haven_mi/lake_whitefish","4","established_michigan_all_species"
"lake_whitefish","Lake whitefish","2","muskegon_mi","Muskegon, Michigan","muskegon_mi/lake_whitefish","4","new_private_pass2"
"lake_whitefish","Lake whitefish","3","whitehall_mi","Whitehall, Michigan","whitehall_mi/lake_whitefish","4","new_private_pass2"
"largemouth_bass","Largemouth bass","1","grand_haven_mi","Grand Haven","grand_haven_mi/largemouth_bass","7.4","established_michigan_all_species"
"largemouth_bass","Largemouth bass","2","whitehall_mi","Whitehall, Michigan","whitehall_mi/largemouth_bass","7.1","new_private_pass2"
"largemouth_bass","Largemouth bass","3","muskegon_mi","Muskegon, Michigan","muskegon_mi/largemouth_bass","6.5","new_private_pass2"
"largemouth_bass","Largemouth bass","4","michigan_city_in","Michigan City, Indiana","michigan_city_in/largemouth_bass","5.5","new_private_pass2"
"northern_pike","Northern pike","1","alpena_mi","Alpena, Michigan","alpena_mi/northern_pike","5.5","new_private_pass2"
"northern_pike","Northern pike","2","ludington_mi","Ludington","ludington_mi/northern_pike","5.2","established_michigan_all_species"
"northern_pike","Northern pike","3","port_sanilac_mi","Port Sanilac","port_sanilac_mi/northern_pike","5.1","established_michigan_all_species"
"northern_pike","Northern pike","4","manistee_mi","Manistee","manistee_mi/northern_pike","5","established_michigan_all_species"
"northern_pike","Northern pike","5","oscoda_mi","Oscoda","oscoda_mi/northern_pike","5","established_michigan_all_species"
"northern_pike","Northern pike","6","whitehall_mi","Whitehall, Michigan","whitehall_mi/northern_pike","4.9","new_private_pass2"
"northern_pike","Northern pike","7","muskegon_mi","Muskegon, Michigan","muskegon_mi/northern_pike","4.8","new_private_pass2"
"northern_pike","Northern pike","8","chicago_il","Chicago, Illinois","chicago_il/northern_pike","4.7","new_private_pass2"
"northern_pike","Northern pike","9","harbor_beach_mi","Harbor Beach","harbor_beach_mi/northern_pike","4.6","established_michigan_all_species"
"northern_pike","Northern pike","10","frankfort_elberta_mi","Frankfort–Elberta","frankfort_elberta_mi/northern_pike","4.5","established_michigan_all_species"
"round_whitefish","Round whitefish","1","manistee_mi","Manistee","manistee_mi/round_whitefish","4.1","established_michigan_all_species"
"round_whitefish","Round whitefish","2","grand_haven_mi","Grand Haven","grand_haven_mi/round_whitefish","3.8","established_michigan_all_species"
"smallmouth_bass","Smallmouth bass","1","alpena_mi","Alpena, Michigan","alpena_mi/smallmouth_bass","8","new_private_pass2"
"smallmouth_bass","Smallmouth bass","2","grand_haven_mi","Grand Haven","grand_haven_mi/smallmouth_bass","7","established_michigan_all_species"
"smallmouth_bass","Smallmouth bass","3","muskegon_mi","Muskegon, Michigan","muskegon_mi/smallmouth_bass","6.6","new_private_pass2"
"smallmouth_bass","Smallmouth bass","4","chicago_il","Chicago, Illinois","chicago_il/smallmouth_bass","6.5","new_private_pass2"
"smallmouth_bass","Smallmouth bass","5","whitehall_mi","Whitehall, Michigan","whitehall_mi/smallmouth_bass","6.3","new_private_pass2"
"smallmouth_bass","Smallmouth bass","6","ludington_mi","Ludington","ludington_mi/smallmouth_bass","5.8","established_michigan_all_species"
"smallmouth_bass","Smallmouth bass","7","michigan_city_in","Michigan City, Indiana","michigan_city_in/smallmouth_bass","5.7","new_private_pass2"
"smallmouth_bass","Smallmouth bass","8","port_sanilac_mi","Port Sanilac","port_sanilac_mi/smallmouth_bass","5.4","established_michigan_all_species"
"smallmouth_bass","Smallmouth bass","9","manistee_mi","Manistee","manistee_mi/smallmouth_bass","5","established_michigan_all_species"
"smallmouth_bass","Smallmouth bass","10","harbor_beach_mi","Harbor Beach","harbor_beach_mi/smallmouth_bass","4.9","established_michigan_all_species"
"smallmouth_bass","Smallmouth bass","11","oscoda_mi","Oscoda","oscoda_mi/smallmouth_bass","4.5","established_michigan_all_species"
"steelhead","Steelhead","1","manistee_mi","Manistee","manistee_mi/steelhead","10","established_or_prior_private_common_species"
"steelhead","Steelhead","2","frankfort_elberta_mi","Frankfort–Elberta","frankfort_elberta_mi/steelhead","9.8","established_or_prior_private_common_species"
"steelhead","Steelhead","3","grand_haven_mi","Grand Haven","grand_haven_mi/steelhead","9.2","established_or_prior_private_common_species"
"steelhead","Steelhead","4","whitehall_mi","Whitehall, Michigan","whitehall_mi/steelhead","8.7","new_private_pass2"
"steelhead","Steelhead","5","michigan_city_in","Michigan City, Indiana","michigan_city_in/steelhead","8.5","new_private_pass2"
"steelhead","Steelhead","6","ludington_mi","Ludington","ludington_mi/steelhead","8.1","established_or_prior_private_common_species"
"steelhead","Steelhead","7","muskegon_mi","Muskegon, Michigan","muskegon_mi/steelhead","8","new_private_pass2"
"steelhead","Steelhead","8","kewaunee_wi","Kewaunee","kewaunee_wi/steelhead","7.8","established_or_prior_private_common_species"
"steelhead","Steelhead","9","sheboygan_wi","Sheboygan","sheboygan_wi/steelhead","7.8","established_or_prior_private_common_species"
"steelhead","Steelhead","10","algoma_wi","Algoma","algoma_wi/steelhead","7.7","established_or_prior_private_common_species"
"steelhead","Steelhead","11","racine_wi","Racine","racine_wi/steelhead","7.7","established_or_prior_private_common_species"
"steelhead","Steelhead","12","oscoda_mi","Oscoda","oscoda_mi/steelhead","7.4","established_or_prior_private_common_species"
"steelhead","Steelhead","13","two_rivers_wi","Two Rivers","two_rivers_wi/steelhead","7.3","established_or_prior_private_common_species"
"steelhead","Steelhead","14","manitowoc_wi","Manitowoc","manitowoc_wi/steelhead","7.2","established_or_prior_private_common_species"
"steelhead","Steelhead","15","waukegan_il","Waukegan","waukegan_il/steelhead","6.8","established_or_prior_private_common_species"
"steelhead","Steelhead","16","port_washington_wi","Port Washington","port_washington_wi/steelhead","6.6","established_or_prior_private_common_species"
"steelhead","Steelhead","17","chicago_il","Chicago, Illinois","chicago_il/steelhead","6.5","new_private_pass2"
"steelhead","Steelhead","18","alpena_mi","Alpena, Michigan","alpena_mi/steelhead","5.8","new_private_pass2"
"steelhead","Steelhead","19","milwaukee_wi","Milwaukee","milwaukee_wi/steelhead","5.8","established_or_prior_private_common_species"
"steelhead","Steelhead","20","harbor_beach_mi","Harbor Beach","harbor_beach_mi/steelhead","5.6","established_or_prior_private_common_species"
"steelhead","Steelhead","21","kenosha_wi","Kenosha","kenosha_wi/steelhead","5.6","established_or_prior_private_common_species"
"steelhead","Steelhead","22","port_sanilac_mi","Port Sanilac","port_sanilac_mi/steelhead","4.5","established_or_prior_private_common_species"
"walleye","Walleye","1","alpena_mi","Alpena, Michigan","alpena_mi/walleye","7.4","new_private_pass2"
"walleye","Walleye","2","oscoda_mi","Oscoda","oscoda_mi/walleye","6.8","established_michigan_all_species"
"walleye","Walleye","3","muskegon_mi","Muskegon, Michigan","muskegon_mi/walleye","6.4","new_private_pass2"
"walleye","Walleye","4","port_sanilac_mi","Port Sanilac","port_sanilac_mi/walleye","6.2","established_michigan_all_species"
"walleye","Walleye","5","harbor_beach_mi","Harbor Beach","harbor_beach_mi/walleye","6","established_michigan_all_species"
"walleye","Walleye","6","whitehall_mi","Whitehall, Michigan","whitehall_mi/walleye","5.8","new_private_pass2"
"walleye","Walleye","7","frankfort_elberta_mi","Frankfort–Elberta","frankfort_elberta_mi/walleye","4.5","established_michigan_all_species"
"walleye","Walleye","8","manistee_mi","Manistee","manistee_mi/walleye","4.2","established_michigan_all_species"
"white_bass","White bass","1","grand_haven_mi","Grand Haven","grand_haven_mi/white_bass","5.2","established_michigan_all_species"
"white_bass","White bass","2","port_sanilac_mi","Port Sanilac","port_sanilac_mi/white_bass","4.5","established_michigan_all_species"
"white_perch","White perch","1","muskegon_mi","Muskegon, Michigan","muskegon_mi/white_perch","5.7","new_private_pass2"
"white_perch","White perch","2","grand_haven_mi","Grand Haven","grand_haven_mi/white_perch","5.6","established_michigan_all_species"
"yellow_perch","Yellow perch","1","chicago_il","Chicago, Illinois","chicago_il/yellow_perch","8.4","new_private_pass2"
"yellow_perch","Yellow perch","2","whitehall_mi","Whitehall, Michigan","whitehall_mi/yellow_perch","8","new_private_pass2"
"yellow_perch","Yellow perch","3","alpena_mi","Alpena, Michigan","alpena_mi/yellow_perch","7.6","new_private_pass2"
"yellow_perch","Yellow perch","4","ludington_mi","Ludington","ludington_mi/yellow_perch","7.6","established_michigan_all_species"
"yellow_perch","Yellow perch","5","grand_haven_mi","Grand Haven","grand_haven_mi/yellow_perch","7.2","established_michigan_all_species"
"yellow_perch","Yellow perch","6","manistee_mi","Manistee","manistee_mi/yellow_perch","7.2","established_michigan_all_species"
"yellow_perch","Yellow perch","7","michigan_city_in","Michigan City, Indiana","michigan_city_in/yellow_perch","6.2","new_private_pass2"
"yellow_perch","Yellow perch","8","muskegon_mi","Muskegon, Michigan","muskegon_mi/yellow_perch","5.2","new_private_pass2"
"yellow_perch","Yellow perch","9","port_sanilac_mi","Port Sanilac","port_sanilac_mi/yellow_perch","5","established_michigan_all_species"
