cityId,port,speciesId,dashboardSpecies,period,catchEstimate,matchedAllSpeciesHours,catchPer1000MatchedAllSpeciesHours,positiveMonthYearStrata,enumeratedMonthYearStrata,positiveYears,limitation
"muskegon_mi","MUSKEGON","walleye","Walleye","recent_2018_2022_excluding_2020","634","24996","25.3641","11","31","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","smallmouth_bass","Smallmouth Bass","full_export","1863","31210","59.6924","24","49","11","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","smallmouth_bass","Smallmouth Bass","modern_2012_2022_excluding_2020","1805","28018","64.4229","20","45","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","smallmouth_bass","Smallmouth Bass","recent_2018_2022_excluding_2020","625","19774","31.6072","11","30","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","freshwater_drum","Drum","full_export","2691","29186","92.2017","29","49","8","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","freshwater_drum","Drum","modern_2012_2022_excluding_2020","2559","29030","88.1502","28","48","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","freshwater_drum","Drum","recent_2018_2022_excluding_2020","1392","19774","70.3955","16","30","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","yellow_perch","Yellow Perch","full_export","2097","30814","68.0535","8","41","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","yellow_perch","Yellow Perch","modern_2012_2022_excluding_2020","52","27515","1.8899","5","38","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","yellow_perch","Yellow Perch","recent_2018_2022_excluding_2020","39","24996","1.5602","4","31","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","lake_whitefish","Lake Whitefish","full_export","9889","34321","288.1326","7","41","5","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","lake_whitefish","Lake Whitefish","modern_2012_2022_excluding_2020","9828","26514","370.6721","3","37","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","lake_whitefish","Lake Whitefish","recent_2018_2022_excluding_2020","9828","24996","393.1829","3","31","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","round_whitefish","Round Whitefish","full_export","60","22985","2.6104","3","38","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","round_whitefish","Round Whitefish","modern_2012_2022_excluding_2020","7","21292","0.3288","1","36","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","round_whitefish","Round Whitefish","recent_2018_2022_excluding_2020","7","19774","0.354","1","30","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","channel_catfish","Channel Catfish","full_export","1094","30260","36.1533","24","52","11","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","channel_catfish","Channel Catfish","modern_2012_2022_excluding_2020","994","28318","35.1013","20","48","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","channel_catfish","Channel Catfish","recent_2018_2022_excluding_2020","456","19774","23.0606","8","30","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","largemouth_bass","Largemouth Bass","full_export","974","26666","36.5259","12","43","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","largemouth_bass","Largemouth Bass","modern_2012_2022_excluding_2020","974","26666","36.5259","12","43","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","largemouth_bass","Largemouth Bass","recent_2018_2022_excluding_2020","275","19774","13.9072","5","30","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","atlantic_salmon","Atlantic Salmon","full_export","0","9179","0","0","20","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","atlantic_salmon","Atlantic Salmon","modern_2012_2022_excluding_2020","0","9179","0","0","20","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","atlantic_salmon","Atlantic Salmon","recent_2018_2022_excluding_2020","0","7661","0","0","14","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","northern_pike","Northern Pike","full_export","242","23535","10.2826","8","40","5","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","northern_pike","Northern Pike","modern_2012_2022_excluding_2020","207","22229","9.3122","6","38","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","northern_pike","Northern Pike","recent_2018_2022_excluding_2020","127","19774","6.4226","4","30","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","white_perch","White Perch","full_export","1991","25200","79.0079","11","42","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","white_perch","White Perch","modern_2012_2022_excluding_2020","1991","25200","79.0079","11","42","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","white_perch","White Perch","recent_2018_2022_excluding_2020","152","19774","7.6869","5","30","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","white_bass","White Bass","full_export","299","19276","15.5115","3","31","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","white_bass","White Bass","modern_2012_2022_excluding_2020","299","19276","15.5115","3","31","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","white_bass","White Bass","recent_2018_2022_excluding_2020","17","15662","1.0854","1","23","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","bluegill","Bluegill","full_export","2305","25475","90.4809","13","43","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","bluegill","Bluegill","modern_2012_2022_excluding_2020","1709","24116","70.8658","10","40","5","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","bluegill","Bluegill","recent_2018_2022_excluding_2020","676","19774","34.1863","5","30","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","chinook_salmon","Chinook Salmon","full_export","5662","73560","76.9712","28","40","16","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","chinook_salmon","Chinook Salmon","modern_2012_2022_excluding_2020","1521","25908","58.7077","8","20","6","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","chinook_salmon","Chinook Salmon","recent_2018_2022_excluding_2020","0","3985","0","0","7","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","coho_salmon","Coho Salmon","full_export","844","47808","17.6539","18","31","12","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","coho_salmon","Coho Salmon","modern_2012_2022_excluding_2020","550","28432","19.3444","10","23","6","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","coho_salmon","Coho Salmon","recent_2018_2022_excluding_2020","154","3985","38.6449","1","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","steelhead","Steelhead","full_export","3277","66846","49.0231","37","45","15","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","steelhead","Steelhead","modern_2012_2022_excluding_2020","1867","33504","55.7247","17","25","6","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","steelhead","Steelhead","recent_2018_2022_excluding_2020","39","3985","9.7867","3","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","brown_trout","Brown Trout","full_export","1953","56038","34.8514","33","44","17","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","brown_trout","Brown Trout","modern_2012_2022_excluding_2020","1009","27707","36.4168","13","24","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","brown_trout","Brown Trout","recent_2018_2022_excluding_2020","32","3985","8.0301","2","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","lake_trout","Lean Lake Trout","full_export","12","17740","0.6764","2","16","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","lake_trout","Lean Lake Trout","modern_2012_2022_excluding_2020","2","15424","0.1297","1","15","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","lake_trout","Lean Lake Trout","recent_2018_2022_excluding_2020","0","3985","0","0","7","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","walleye","Walleye","full_export","711","27876","25.5058","16","27","12","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","walleye","Walleye","modern_2012_2022_excluding_2020","621","22351","27.784","9","20","5","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","walleye","Walleye","recent_2018_2022_excluding_2020","18","3985","4.5169","2","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","smallmouth_bass","Smallmouth Bass","full_export","1479","37530","39.4085","23","35","13","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","smallmouth_bass","Smallmouth Bass","modern_2012_2022_excluding_2020","446","24267","18.3789","8","20","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","smallmouth_bass","Smallmouth Bass","recent_2018_2022_excluding_2020","70","3985","17.5659","2","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","freshwater_drum","Drum","full_export","1547","36548","42.3279","21","31","9","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","freshwater_drum","Drum","modern_2012_2022_excluding_2020","1355","32571","41.6014","19","29","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","freshwater_drum","Drum","recent_2018_2022_excluding_2020","132","3985","33.1242","3","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","yellow_perch","Yellow Perch","full_export","21668","39001","555.5755","12","26","8","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","yellow_perch","Yellow Perch","modern_2012_2022_excluding_2020","2123","17793","119.3166","2","16","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","yellow_perch","Yellow Perch","recent_2018_2022_excluding_2020","0","3985","0","0","7","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","lake_whitefish","Lake Whitefish","full_export","0","15157","0","0","14","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","lake_whitefish","Lake Whitefish","modern_2012_2022_excluding_2020","0","15157","0","0","14","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","lake_whitefish","Lake Whitefish","recent_2018_2022_excluding_2020","0","3985","0","0","7","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","round_whitefish","Round Whitefish","full_export","50","20315","2.4612","2","16","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","round_whitefish","Round Whitefish","modern_2012_2022_excluding_2020","0","15157","0","0","14","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","round_whitefish","Round Whitefish","recent_2018_2022_excluding_2020","0","3985","0","0","7","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","channel_catfish","Channel Catfish","full_export","327","23397","13.9762","8","20","5","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","channel_catfish","Channel Catfish","modern_2012_2022_excluding_2020","280","22689","12.3408","7","19","4","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","channel_catfish","Channel Catfish","recent_2018_2022_excluding_2020","75","3985","18.8206","2","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","largemouth_bass","Largemouth Bass","full_export","2771","39102","70.8659","22","33","12","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","largemouth_bass","Largemouth Bass","modern_2012_2022_excluding_2020","1678","22389","74.9475","9","20","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","largemouth_bass","Largemouth Bass","recent_2018_2022_excluding_2020","606","3985","152.0703","3","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","atlantic_salmon","Atlantic Salmon","full_export","4","12701","0.3149","1","8","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","atlantic_salmon","Atlantic Salmon","modern_2012_2022_excluding_2020","0","11172","0","0","7","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","atlantic_salmon","Atlantic Salmon","recent_2018_2022_excluding_2020","0","0","","0","0","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","northern_pike","Northern Pike","full_export","115","17951","6.4063","7","20","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","northern_pike","Northern Pike","modern_2012_2022_excluding_2020","43","15640","2.7494","3","16","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","northern_pike","Northern Pike","recent_2018_2022_excluding_2020","12","3985","3.0113","1","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","white_perch","White Perch","full_export","69","15949","4.3263","2","15","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","white_perch","White Perch","modern_2012_2022_excluding_2020","69","15949","4.3263","2","15","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","white_perch","White Perch","recent_2018_2022_excluding_2020","10","3985","2.5094","1","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","white_bass","White Bass","full_export","21","16033","1.3098","1","15","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","white_bass","White Bass","modern_2012_2022_excluding_2020","21","16033","1.3098","1","15","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","white_bass","White Bass","recent_2018_2022_excluding_2020","0","3985","0","0","7","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","bluegill","Bluegill","full_export","590","21207","27.821","5","18","5","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","bluegill","Bluegill","modern_2012_2022_excluding_2020","558","18205","30.6509","3","16","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"whitehall_mi","WHITEHALL-MONTAGUE","bluegill","Bluegill","recent_2018_2022_excluding_2020","424","3985","106.399","1","7","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"alpena_mi","ALPENA","chinook_salmon","Chinook Salmon","full_export","241","5321","45.2922","3","30","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"alpena_mi","ALPENA","chinook_salmon","Chinook Salmon","modern_2012_2022_excluding_2020","0","4140","0","0","27","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"alpena_mi","ALPENA","chinook_salmon","Chinook Salmon","recent_2018_2022_excluding_2020","0","1194","0","0","20","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"alpena_mi","ALPENA","coho_salmon","Coho Salmon","full_export","0","4140","0","0","27","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"alpena_mi","ALPENA","coho_salmon","Coho Salmon","modern_2012_2022_excluding_2020","0","4140","0","0","27","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"alpena_mi","ALPENA","coho_salmon","Coho Salmon","recent_2018_2022_excluding_2020","0","1194","0","0","20","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
