cityId,cityName,speciesId,speciesName,disposition,evidenceGrade,annualPeakScore,status
"michigan_city_in","Michigan City, Indiana","white_bass","White bass","exclude_unscored","D","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","bluegill","Bluegill","numeric_private","B","5.2","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","chinook_salmon","Chinook salmon","numeric_private","A","6.5","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","coho_salmon","Coho salmon","numeric_private","A","6.4","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","steelhead","Steelhead","numeric_private","A","8","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","brown_trout","Brown trout","numeric_private","A","7","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","lake_trout","Lake trout","research_hold_unscored","C","","UNSCORED"
"muskegon_mi","Muskegon, Michigan","walleye","Walleye","numeric_private","A","6.4","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","smallmouth_bass","Smallmouth bass","numeric_private","A","6.6","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","freshwater_drum","Freshwater drum","numeric_private","A","6.2","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","yellow_perch","Yellow perch","numeric_private","A","5.2","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","lake_whitefish","Lake whitefish","numeric_private","B","4","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","round_whitefish","Round whitefish","research_hold_unscored","C","","UNSCORED"
"muskegon_mi","Muskegon, Michigan","channel_catfish","Channel catfish","numeric_private","A","6","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","largemouth_bass","Largemouth bass","numeric_private","A","6.5","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","atlantic_salmon","Atlantic salmon","exclude_unscored","D","","UNSCORED"
"muskegon_mi","Muskegon, Michigan","northern_pike","Northern pike","numeric_private","A","4.8","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","burbot","Burbot","exclude_unscored","D","","UNSCORED"
"muskegon_mi","Muskegon, Michigan","white_perch","White perch","numeric_private","A","5.7","PRIVATE_NUMERIC"
"muskegon_mi","Muskegon, Michigan","white_bass","White bass","research_hold_unscored","C","","UNSCORED"
"muskegon_mi","Muskegon, Michigan","bluegill","Bluegill","numeric_private","A","6","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","chinook_salmon","Chinook salmon","numeric_private","A","9.3","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","coho_salmon","Coho salmon","numeric_private","A","7.4","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","steelhead","Steelhead","numeric_private","A","8.7","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","brown_trout","Brown trout","numeric_private","A","7.7","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","lake_trout","Lake trout","research_hold_unscored","C","","UNSCORED"
"whitehall_mi","Whitehall, Michigan","walleye","Walleye","numeric_private","A","5.8","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","smallmouth_bass","Smallmouth bass","numeric_private","A","6.3","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","freshwater_drum","Freshwater drum","numeric_private","A","5.6","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","yellow_perch","Yellow perch","numeric_private","A","8","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","lake_whitefish","Lake whitefish","numeric_private","B","4","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","round_whitefish","Round whitefish","research_hold_unscored","C","","UNSCORED"
"whitehall_mi","Whitehall, Michigan","channel_catfish","Channel catfish","numeric_private","A","5","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","largemouth_bass","Largemouth bass","numeric_private","A","7.1","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","atlantic_salmon","Atlantic salmon","research_hold_unscored","C","","UNSCORED"
"whitehall_mi","Whitehall, Michigan","northern_pike","Northern pike","numeric_private","A","4.9","PRIVATE_NUMERIC"
"whitehall_mi","Whitehall, Michigan","burbot","Burbot","exclude_unscored","D","","UNSCORED"
"whitehall_mi","Whitehall, Michigan","white_perch","White perch","research_hold_unscored","C","","UNSCORED"
"whitehall_mi","Whitehall, Michigan","white_bass","White bass","research_hold_unscored","C","","UNSCORED"
"whitehall_mi","Whitehall, Michigan","bluegill","Bluegill","numeric_private","A","5.2","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","chinook_salmon","Chinook salmon","numeric_private","B","5.4","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","coho_salmon","Coho salmon","numeric_private","B","6.5","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","steelhead","Steelhead","numeric_private","B","5.8","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","brown_trout","Brown trout","numeric_private","B","5.4","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","lake_trout","Lake trout","numeric_private","B","5","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","walleye","Walleye","numeric_private","A","7.4","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","smallmouth_bass","Smallmouth bass","numeric_private","A","8","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","freshwater_drum","Freshwater drum","numeric_private","B","4.2","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","yellow_perch","Yellow perch","numeric_private","A","7.6","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","lake_whitefish","Lake whitefish","research_hold_unscored","C","","UNSCORED"
"alpena_mi","Alpena, Michigan","round_whitefish","Round whitefish","exclude_unscored","D","","UNSCORED"
"alpena_mi","Alpena, Michigan","channel_catfish","Channel catfish","research_hold_unscored","C","","UNSCORED"
"alpena_mi","Alpena, Michigan","largemouth_bass","Largemouth bass","research_hold_unscored","C","","UNSCORED"
"alpena_mi","Alpena, Michigan","atlantic_salmon","Atlantic salmon","numeric_private","B","7.2","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","northern_pike","Northern pike","numeric_private","A","5.5","PRIVATE_NUMERIC"
"alpena_mi","Alpena, Michigan","burbot","Burbot","exclude_unscored","D","","UNSCORED"
"alpena_mi","Alpena, Michigan","white_perch","White perch","exclude_unscored","D","","UNSCORED"
"alpena_mi","Alpena, Michigan","white_bass","White bass","exclude_unscored","D","","UNSCORED"
"alpena_mi","Alpena, Michigan","bluegill","Bluegill","research_hold_unscored","C","","UNSCORED"
