port,mode,species,sampled_year_count,first_sampled_year,latest_sampled_year,positive_year_count,first_positive_year,latest_positive_year,positive_years,explicit_zero_years,note
"ALPENA","Pier/Dock","Smelt","1","2022","2022","0","","","","2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Splake","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Steelhead","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Walleye","9","2007","2022","5","2007","2019","2007;2008;2012;2014;2019","2018;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","White Bass","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","White Perch","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Yellow Perch","15","2002","2022","10","2002","2015","2002;2006;2007;2008;2009;2010;2011;2012;2013;2015","2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Atlantic Salmon","3","2012","2022","0","","","","2012;2019;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Black Crappie","4","2012","2022","0","","","","2012;2019;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Bluegill","12","1990","2022","10","1990","2022","1990;1991;2002;2003;2012;2014;2017;2020;2021;2022","2018;2019","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Brook Trout","3","2012","2022","0","","","","2012;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Brown Trout","29","1989","2022","26","1989","2022","1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2004;2005;2006;2007;2008;2010;2014;2015;2016;2017;2018;2019;2022","2012;2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Carp","3","2012","2022","0","","","","2012;2020;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Channel Catfish","14","1990","2022","13","1990","2022","1990;1999;2001;2008;2011;2015;2016;2017;2018;2019;2020;2021;2022","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Chinook Salmon","20","1990","2022","15","1990","2018","1990;1995;1996;1997;1999;2000;2003;2004;2005;2006;2007;2008;2011;2012;2018","1994;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Coho Salmon","17","1991","2022","14","1991","2021","1991;1994;1995;1997;1998;2002;2005;2011;2015;2016;2017;2018;2019;2021","2012;2020;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Common White Sucker","7","2010","2022","1","2010","2010","2010","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Drum","11","1990","2022","10","1990","2022","1990;2004;2015;2016;2017;2018;2019;2020;2021;2022","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Fat Lake Trout","3","2012","2022","0","","","","2012;2019;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Lake Herring","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Lake Whitefish","10","1994","2022","7","1994","2021","1994;1997;1998;1999;2019;2020;2021","2012;2018;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Largemouth Bass","10","1992","2022","9","1992","2022","1992;2015;2016;2017;2018;2019;2020;2021;2022","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Lean Lake Trout","8","1993","2022","2","1993","2015","1993;2015","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Musky","4","2012","2021","1","2014","2014","2014","2012;2018;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Northern Pike","9","2005","2022","5","2005","2021","2005;2010;2016;2018;2021","2012;2019;2020;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Other","9","2003","2022","6","2003","2022","2003;2015;2017;2018;2019;2022","2012;2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Pink Salmon","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Pumpkinseed","9","1990","2022","4","1990","2022","1990;1994;2002;2022","2012;2018;2019;2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Rockbass","12","1990","2022","9","1990","2022","1990;1991;2004;2015;2016;2017;2019;2021;2022","2012;2018;2020","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Round Whitefish","10","1994","2022","5","1994","2022","1994;1996;1999;2004;2022","2012;2018;2019;2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Smallmouth Bass","15","1990","2022","14","1990","2022","1990;1994;1997;2001;2003;2007;2014;2015;2017;2018;2019;2020;2021;2022","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Smelt","2","2020","2021","0","","","","2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Splake","1","2012","2012","0","","","","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Steelhead","30","1990","2022","27","1990","2022","1990;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2014;2015;2016;2017;2018;2019;2022","2012;2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Walleye","18","1995","2022","17","1995","2022","1995;1996;1997;2000;2001;2004;2005;2007;2010;2011;2016;2017;2018;2019;2020;2021;2022","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","White Bass","6","2012","2021","2","2017","2018","2017;2018","2012;2019;2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","White Perch","8","2012","2022","5","2016","2020","2016;2017;2018;2019;2020","2012;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"MUSKEGON","Pier/Dock","Yellow Perch","18","1989","2022","15","1989","2021","1989;1990;1991;1992;1993;1994;1995;1996;1997;1999;2003;2017;2018;2019;2021","2012;2020;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Atlantic Salmon","2","2001","2012","1","2001","2001","2001","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Black Crappie","1","2012","2012","0","","","","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Bluegill","6","2001","2018","5","2001","2018","2001;2006;2016;2017;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Brook Trout","1","2012","2012","0","","","","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Brown Trout","17","1998","2018","17","1998","2018","1998;2000;2001;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018","","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Carp","1","2012","2012","0","","","","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Channel Catfish","6","2006","2018","5","2006","2018","2006;2013;2016;2017;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Chinook Salmon","17","2000","2018","16","2000","2017","2000;2001;2002;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017","2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Coho Salmon","13","2000","2018","12","2000","2018","2000;2005;2006;2007;2009;2011;2013;2014;2015;2016;2017;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Common White Sucker","2","2012","2018","0","","","","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Drum","9","2003","2018","9","2003","2018","2003;2009;2012;2013;2014;2015;2016;2017;2018","","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Fat Lake Trout","1","2012","2012","0","","","","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Lake Herring","2","2012","2018","0","","","","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Lake Whitefish","2","2012","2018","0","","","","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Largemouth Bass","13","2000","2018","12","2000","2018","2000;2001;2003;2004;2005;2007;2009;2010;2011;2016;2017;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Lean Lake Trout","4","2008","2018","2","2008","2015","2008;2015","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Musky","2","2012","2018","0","","","","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Northern Pike","8","2000","2018","7","2000","2018","2000;2002;2006;2011;2013;2015;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Other","7","2000","2018","5","2000","2017","2000;2006;2015;2016;2017","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Pink Salmon","4","2000","2018","2","2000","2015","2000;2015","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Pumpkinseed","4","2012","2018","3","2016","2018","2016;2017;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Rockbass","6","2000","2018","5","2000","2018","2000;2013;2016;2017;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Round Whitefish","4","2000","2018","2","2000","2005","2000;2005","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Smallmouth Bass","14","1998","2018","13","1998","2018","1998;2000;2001;2002;2004;2005;2006;2007;2010;2015;2016;2017;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Splake","1","2012","2012","0","","","","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Steelhead","15","2000","2018","15","2000","2018","2000;2001;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2018","","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Walleye","12","2001","2018","12","2001","2018","2001;2002;2003;2004;2005;2006;2011;2012;2014;2016;2017;2018","","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","White Bass","3","2012","2018","1","2015","2015","2015","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","White Perch","3","2012","2018","2","2016","2018","2016;2018","2012","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"WHITEHALL-MONTAGUE","Pier/Dock","Yellow Perch","10","2000","2018","8","2000","2014","2000;2001;2005;2007;2008;2009;2013;2014","2012;2018","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
