pairKey,evidenceGrade,pass2Disposition,reason
kewaunee_wi/atlantic_salmon,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/northern_pike,C,research_hold,"Repeat named-pier pike catch/target reports and determine seasonal strength."
kewaunee_wi/burbot,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/white_perch,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/white_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/bluegill,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/lake_trout,C,research_hold,"Historical Wisconsin county pier lake trout and offshore abundance establish occurrence, but 2022-24 county estimates are zero and the 2024 statewide pier estimate is only three. Illinois 2023-24 Waukegan pedestrian estimates are zero. No defensible current exact-pier annual magnitude; offshore catch is excluded."
algoma_wi/walleye,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/smallmouth_bass,C,research_hold,"Named breakwall smallmouth target records at an open segment."
algoma_wi/freshwater_drum,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/yellow_perch,C,research_hold,"New DNR perch table finds 2022-24 county pier harvest 0/0/0 in Kewaunee and 0/0/3 in Manitowoc. Algoma 2026 perch report is river, not pier. Local common pier targeting is unproven."
algoma_wi/lake_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/round_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/channel_catfish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/largemouth_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/atlantic_salmon,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/northern_pike,C,research_hold,"Find repeat Algoma breakwall pike catch/target evidence; retain construction status separately."
algoma_wi/burbot,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/white_perch,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/white_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
algoma_wi/bluegill,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/lake_trout,C,research_hold,"Historical Wisconsin county pier lake trout and offshore abundance establish occurrence, but 2022-24 county estimates are zero and the 2024 statewide pier estimate is only three. Illinois 2023-24 Waukegan pedestrian estimates are zero. No defensible current exact-pier annual magnitude; offshore catch is excluded."
manitowoc_wi/walleye,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/freshwater_drum,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/yellow_perch,C,research_hold,"New DNR perch table finds 2022-24 county pier harvest 0/0/0 in Kewaunee and 0/0/3 in Manitowoc. Algoma 2026 perch report is river, not pier. Local common pier targeting is unproven."
manitowoc_wi/lake_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/round_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/channel_catfish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/largemouth_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/atlantic_salmon,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/burbot,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/white_perch,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/white_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
manitowoc_wi/bluegill,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/lake_trout,C,research_hold,"Historical Wisconsin county pier lake trout and offshore abundance establish occurrence, but 2022-24 county estimates are zero and the 2024 statewide pier estimate is only three. Illinois 2023-24 Waukegan pedestrian estimates are zero. No defensible current exact-pier annual magnitude; offshore catch is excluded."
waukegan_il/walleye,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/smallmouth_bass,C,research_hold,"Find Government Pier or adjacent public breakwall target interviews and legal-season treatment."
waukegan_il/freshwater_drum,C,research_hold,"Government Pier drum target/catch series."
waukegan_il/lake_whitefish,C,research_hold,"The Waukegan advisory/rule establishes presence or legal treatment, not repeated Government Pier targeting or seasonal catch."
waukegan_il/round_whitefish,C,research_hold,"Combined whitefish regulation cannot identify a Government Pier round-whitefish fishery."
waukegan_il/channel_catfish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/largemouth_bass,C,research_hold,"Government Pier or adjacent legal public shore largemouth target/catch series."
waukegan_il/atlantic_salmon,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/northern_pike,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/burbot,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/white_perch,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/white_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
waukegan_il/bluegill,C,research_hold,"Government Pier bluegill target/catch series rather than marina-basin presence."
